"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.016801","0.00218667","0.016801","05/02/23 13:55:34 +16801000 ns","0.016801","01 06","ACK <=","","","","","","","","","","","",""
"2","0.095751","0.0105207","0.0767633","05/02/23 13:55:34 +95751000 ns","0.095751","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"3","0.110022","0.00718667","0.00375033","05/02/23 13:55:34 +110022000 ns","0.110022","01 25 03 18 00 C1","<= Event 1 Status reply","18 00","","","25","","","","","","","",""
"4","0.282506","0.00218667","0.165297","05/02/23 13:55:34 +282506000 ns","0.282506","01 06","ACK <=","","","","","","","","","","","",""
"5","0.291464","0.0106247","0.00677133","05/02/23 13:55:34 +291464000 ns","0.291464","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"6","0.468531","0.00218767","0.166442","05/02/23 13:55:34 +468531000 ns","0.468531","01 06","ACK <=","","","","","","","","","","","",""
"7","0.478114","0.0105207","0.00739533","05/02/23 13:55:34 +478114000 ns","0.478114","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"8","0.602272","0.00218767","0.113637","05/02/23 13:55:34 +602272000 ns","0.602272","01 06","ACK <=","","","","","","","","","","","",""
"9","0.686327","0.0106247","0.0818673","05/02/23 13:55:34 +686327000 ns","0.686327","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"10","0.703618","0.00718767","0.00666633","05/02/23 13:55:34 +703618000 ns","0.703618","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"11","0.72591","0.00218667","0.0151043","05/02/23 13:55:34 +725910000 ns","0.72591","01 06","ACK <=","","","","","","","","","","","",""
"12","0.855894","0.0104167","0.127797","05/02/23 13:55:34 +855894000 ns","0.855894","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"13","0.982344","0.00239567","0.116033","05/02/23 13:55:34 +982344000 ns","0.982344","01 06","ACK <=","","","","","","","","","","","",""
"14","1.06421","0.0106247","0.0794713","05/02/23 13:55:35 +64211000 ns","1.064211","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"15","1.07911","0.00718767","0.00427133","05/02/23 13:55:35 +79107000 ns","1.079107","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"16","1.25556","0.00239567","0.169261","05/02/23 13:55:35 +255556000 ns","1.255556","01 06","ACK <=","","","","","","","","","","","",""
"17","1.26587","0.0104097","0.00791633","05/02/23 13:55:35 +265868000 ns","1.265868","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"18","1.38637","0.00218767","0.110096","05/02/23 13:55:35 +386374000 ns","1.386374","01 06","ACK <=","","","","","","","","","","","",""
"19","1.47408","0.0106177","0.0855193","05/02/23 13:55:35 +474081000 ns","1.474081","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"20","1.49137","0.00718767","0.00666633","05/02/23 13:55:35 +491365000 ns","1.491365","01 2C 03 18 00 C8","<= Event 1 Status reply","18 00","","","2C","","","","","","","",""
"21","1.66198","0.00218767","0.163428","05/02/23 13:55:35 +661981000 ns","1.661981","01 06","ACK <=","","","","","","","","","","","",""
"22","1.67156","0.0106247","0.00739533","05/02/23 13:55:35 +671564000 ns","1.671564","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"23","1.79394","0.00218767","0.111756","05/02/23 13:55:35 +793945000 ns","1.793945","01 06","ACK <=","","","","","","","","","","","",""
"24","1.8803","0.0105207","0.0841653","05/02/23 13:55:35 +880298000 ns","1.880298","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"25","1.89498","0.00677067","0.00415933","05/02/23 13:55:35 +894978000 ns","1.894978","01 2E 03 18 00 CA","<= Event 1 Status reply","18 00","","","2E","","","","","","","",""
"26","2.0657","0.00218767","0.163949","05/02/23 13:55:36 +65698000 ns","2.065698","01 06","ACK <=","","","","","","","","","","","",""
"27","2.07424","0.0106247","0.00635433","05/02/23 13:55:36 +74240000 ns","2.07424","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"28","2.25287","0.00218767","0.168004","05/02/23 13:55:36 +252869000 ns","2.252869","01 06","ACK <=","","","","","","","","","","","",""
"29","2.26266","0.00927067","0.00760433","05/02/23 13:55:36 +262661000 ns","2.262661","01 10 05 03 41 0C 03 A7","<= Static status reply","","","","10","","","","","","","",""
"30","2.36494","0.00229167","0.0930123","05/02/23 13:55:36 +364944000 ns","2.364944","01 06","ACK <=","","","","","","","","","","","",""
"31","2.37474","0.00687467","0.00750033","05/02/23 13:55:36 +374736000 ns","2.374736","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"32","2.49494","0.00218667","0.113325","05/02/23 13:55:36 +494936000 ns","2.494936","01 06","ACK <=","","","","","","","","","","","",""
"33","2.58264","0.00687467","0.0855133","05/02/23 13:55:36 +582636000 ns","2.582636","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"34","2.69721","0.0106247","0.1077","05/02/23 13:55:36 +697211000 ns","2.697211","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"35","2.81856","0.00218667","0.110721","05/02/23 13:55:36 +818557000 ns","2.818557","01 06","ACK <=","","","","","","","","","","","",""
"36","2.82709","0.00697867","0.00634833","05/02/23 13:55:36 +827092000 ns","2.827092","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"37","2.99781","0.00218767","0.16374","05/02/23 13:55:36 +997811000 ns","2.997811","01 06","ACK <=","","","","","","","","","","","",""
"38","3.00698","0.00906267","0.00697933","05/02/23 13:55:37 +6978000 ns","3.006978","01 14 05 03 31 0C 03 D3","<= Static status reply","","","","14","","","","","","","",""
"39","3.15675","0.00218767","0.140713","05/02/23 13:55:37 +156754000 ns","3.156754","01 06","ACK <=","","","","","","","","","","","",""
"40","3.16613","0.00937467","0.00718733","05/02/23 13:55:37 +166129000 ns","3.166129","01 15 05 03 31 0C 03 D2","<= Static status reply","","","","15","","","","","","","",""
"41","3.26508","0.00229167","0.0895753","05/02/23 13:55:37 +265079000 ns","3.265079","01 06","ACK <=","","","","","","","","","","","",""
"42","3.27789","0.00677067","0.0105203","05/02/23 13:55:37 +277891000 ns","3.277891","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
"43","3.39892","0.00218767","0.114262","05/02/23 13:55:37 +398924000 ns","3.398924","01 06","ACK <=","","","","","","","","","","","",""
"44","3.48475","0.00697867","0.0836383","05/02/23 13:55:37 +484750000 ns","3.48475","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
"45","3.59985","0.00958367","0.108116","05/02/23 13:55:37 +599845000 ns","3.599845","01 17 05 03 31 0C 03 D0","<= Static status reply","","","","17","","","","","","","",""
"46","3.73223","0.00218767","0.122803","05/02/23 13:55:37 +732232000 ns","3.732232","01 06","ACK <=","","","","","","","","","","","",""
"47","3.74265","0.00729167","0.00822933","05/02/23 13:55:37 +742649000 ns","3.742649","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"48","3.91378","0.00218767","0.163838","05/02/23 13:55:37 +913779000 ns","3.913779","01 06","ACK <=","","","","","","","","","","","",""
"49","3.92326","0.00916667","0.00729133","05/02/23 13:55:37 +923258000 ns","3.923258","01 19 05 03 61 0C 03 8E","<= Static status reply","","","","19","","","","","","","",""
"50","4.07283","0.00218067","0.140407","05/02/23 13:55:38 +72832000 ns","4.072832","01 06","ACK <=","","","","","","","","","","","",""
"51","4.0822","0.00927167","0.00718733","05/02/23 13:55:38 +82200000 ns","4.0822","01 1A 05 03 71 0C 03 9D","<= Static status reply","","","","1A","","","","","","","",""
