"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.06999","0.00218767","0.06999","05/02/23 13:56:16 +69990000 ns","0.06999","01 06","ACK =>","","","","","","","","","","","",""
"2","0.095302","0.00218767","0.0231243","05/02/23 13:56:16 +95302000 ns","0.095302","01 06","ACK =>","","","","","","","","","","","",""
"3","0.120926","0.00562567","0.0234363","05/02/23 13:56:16 +120926000 ns","0.120926","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"4","0.279465","0.00218767","0.152913","05/02/23 13:56:16 +279465000 ns","0.279465","01 06","ACK =>","","","","","","","","","","","",""
"5","0.304986","0.00562467","0.0233333","05/02/23 13:56:16 +304986000 ns","0.304986","01 1F 02 00 E2","=> Static status query","","","","1F","","","","","","","",""
"6","0.442067","0.00562467","0.131456","05/02/23 13:56:16 +442067000 ns","0.442067","01 20 02 0A D7","=> Event 1 Status query","","","","20","","","","","","","",""
"7","0.549669","0.00218767","0.101977","05/02/23 13:56:16 +549669000 ns","0.549669","01 06","ACK =>","","","","","","","","","","","",""
"8","0.56269","0.00562467","0.0108333","05/02/23 13:56:16 +562690000 ns","0.56269","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"9","0.703104","0.00218767","0.134789","05/02/23 13:56:16 +703104000 ns","0.703104","01 06","ACK =>","","","","","","","","","","","",""
"10","0.817998","0.00562467","0.112706","05/02/23 13:56:16 +817998000 ns","0.817998","01 22 02 00 DF","=> Event 1 Status query","","","","22","","","","","","","",""
"11","0.927579","0.00218767","0.103956","05/02/23 13:56:16 +927579000 ns","0.927579","01 06","ACK =>","","","","","","","","","","","",""
"12","1.03799","0.00218667","0.108221","05/02/23 13:56:17 +37988000 ns","1.037988","01 06","ACK =>","","","","","","","","","","","",""
"13","1.06361","0.00218767","0.0234373","05/02/23 13:56:17 +63612000 ns","1.063612","01 06","ACK =>","","","","","","","","","","","",""
"14","1.08903","0.00562567","0.0232283","05/02/23 13:56:17 +89028000 ns","1.089028","01 13 02 00 EE","=> Static status query","","","","13","","","","","","","",""
"15","1.22996","0.00562467","0.13531","05/02/23 13:56:17 +229964000 ns","1.229964","01 24 02 00 D9","=> Event 1 Status query","","","","24","","","","","","","",""
"16","1.33757","0.00218767","0.101977","05/02/23 13:56:17 +337566000 ns","1.337566","01 06","ACK =>","","","","","","","","","","","",""
"17","1.45006","0.00218767","0.11031","05/02/23 13:56:17 +450064000 ns","1.450064","01 06","ACK =>","","","","","","","","","","","",""
"18","1.47538","0.00218767","0.0231243","05/02/23 13:56:17 +475376000 ns","1.475376","01 06","ACK =>","","","","","","","","","","","",""
"19","1.5009","0.00562467","0.0233333","05/02/23 13:56:17 +500897000 ns","1.500897","01 15 02 00 E8","=> Static status query","","","","15","","","","","","","",""
"20","1.65902","0.00218767","0.152497","05/02/23 13:56:17 +659019000 ns","1.659019","01 06","ACK =>","","","","","","","","","","","",""
"21","1.68454","0.00562467","0.0233323","05/02/23 13:56:17 +684539000 ns","1.684539","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"22","1.8261","0.00562567","0.135935","05/02/23 13:56:17 +826099000 ns","1.826099","01 27 02 0A D0","=> Event 1 Status query","","","","27","","","","","","","",""
"23","1.93255","0.00218767","0.100824","05/02/23 13:56:17 +932549000 ns","1.932549","01 06","ACK =>","","","","","","","","","","","",""
"24","1.94547","0.00562467","0.0107293","05/02/23 13:56:17 +945466000 ns","1.945466","01 18 02 00 E5","=> Static status query","","","","18","","","","","","","",""
"25","2.08755","0.00218767","0.136456","05/02/23 13:56:18 +87547000 ns","2.087547","01 06","ACK =>","","","","","","","","","","","",""
"26","2.20192","0.00562467","0.112185","05/02/23 13:56:18 +201920000 ns","2.20192","01 29 02 00 D4","=> Event 1 Status query","","","","29","","","","","","","",""
"27","2.3165","0.00218767","0.108956","05/02/23 13:56:18 +316501000 ns","2.316501","01 06","ACK =>","","","","","","","","","","","",""
"28","2.42983","0.00218667","0.111144","05/02/23 13:56:18 +429833000 ns","2.429833","01 06","ACK =>","","","","","","","","","","","",""
"29","2.45535","0.00218767","0.0233333","05/02/23 13:56:18 +455353000 ns","2.455353","01 06","ACK =>","","","","","","","","","","","",""
"30","2.48087","0.00562567","0.0233323","05/02/23 13:56:18 +480873000 ns","2.480873","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
"31","2.5391","0.00218667","0.0526033","05/02/23 13:56:18 +539102000 ns","2.539102","01 06","ACK =>","","","","","","","","","","","",""
"32","2.56483","0.00562567","0.0235413","05/02/23 13:56:18 +564830000 ns","2.56483","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"33","2.62264","0.00218767","0.0521863","05/02/23 13:56:18 +622642000 ns","2.622642","01 06","ACK =>","","","","","","","","","","","",""
"34","2.67379","0.00562467","0.0489573","05/02/23 13:56:18 +673787000 ns","2.673787","01 2C 02 0A DB","=> Event 1 Status query","","","","2C","","","","","","","",""
"35","2.8019","0.00562467","0.122491","05/02/23 13:56:18 +801903000 ns","2.801903","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"36","3.00992","0.00218767","0.202392","05/02/23 13:56:19 +9920000 ns","3.00992","01 06","ACK =>","","","","","","","","","","","",""
"37","3.02336","0.00218767","0.0112503","05/02/23 13:56:19 +23358000 ns","3.023358","01 06","ACK =>","","","","","","","","","","","",""
"38","3.12575","0.00562467","0.100206","05/02/23 13:56:19 +125752000 ns","3.125752","01 2E 02 00 D3","=> Event 1 Status query","","","","2E","","","","","","","",""
"39","3.25387","0.00218667","0.122498","05/02/23 13:56:19 +253875000 ns","3.253875","01 06","ACK =>","","","","","","","","","","","",""
