"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.100605","0.00218767","0.100605","05/02/23 13:57:07 +100605000 ns","0.100605","01 06","ACK <=","","","","","","","","","","","",""
"2","0.186847","0.0106247","0.0840543","05/02/23 13:57:07 +186847000 ns","0.186847","01 16 05 83 08 31 0C 03 61","<= Static status reply","","","","16","","","","","","","",""
"3","0.201118","0.00687467","0.00364633","05/02/23 13:57:07 +201118000 ns","0.201118","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"4","0.372456","0.00218767","0.164463","05/02/23 13:57:07 +372456000 ns","0.372456","01 06","ACK <=","","","","","","","","","","","",""
"5","0.381519","0.0102077","0.00687533","05/02/23 13:57:07 +381519000 ns","0.381519","01 18 05 83 08 31 0C 03 6F","<= Static status reply","","","","18","","","","","","","",""
"6","0.55994","0.00218767","0.168213","05/02/23 13:57:07 +559940000 ns","0.55994","01 06","ACK <=","","","","","","","","","","","",""
"7","0.569627","0.0104167","0.00749933","05/02/23 13:57:07 +569627000 ns","0.569627","01 19 05 83 08 31 0C 03 6E","<= Static status reply","","","","19","","","","","","","",""
"8","0.692431","0.00218767","0.112387","05/02/23 13:57:07 +692431000 ns","0.692431","01 06","ACK <=","","","","","","","","","","","",""
"9","0.77784","0.0105207","0.0832213","05/02/23 13:57:07 +777840000 ns","0.77784","01 19 05 83 08 31 0C 03 6E","<= Static status reply","","","","19","","","","","","","",""
"10","0.795027","0.00708367","0.00666633","05/02/23 13:57:07 +795027000 ns","0.795027","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"11","0.817735","0.00218767","0.0156243","05/02/23 13:57:07 +817735000 ns","0.817735","01 06","ACK <=","","","","","","","","","","","",""
"12","0.955741","0.0104157","0.135818","05/02/23 13:57:07 +955741000 ns","0.955741","01 1B 05 83 08 31 0C 03 6C","<= Static status reply","","","","1B","","","","","","","",""
