"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.088411","0.00562567","0.088411","05/02/23 13:57:07 +88411000 ns","0.088411","01 25 02 00 D8","=> Event 1 Status query","","","","25","","","","","","","",""
"2","0.19716","0.00218667","0.103123","05/02/23 13:57:07 +197160000 ns","0.19716","01 06","ACK =>","","","","","","","","","","","",""
"3","0.308408","0.00218767","0.109061","05/02/23 13:57:07 +308408000 ns","0.308408","01 06","ACK =>","","","","","","","","","","","",""
"4","0.334032","0.00218767","0.0234363","05/02/23 13:57:07 +334032000 ns","0.334032","01 06","ACK =>","","","","","","","","","","","",""
"5","0.359449","0.00562467","0.0232293","05/02/23 13:57:07 +359449000 ns","0.359449","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"6","0.517564","0.00218767","0.15249","05/02/23 13:57:07 +517564000 ns","0.517564","01 06","ACK =>","","","","","","","","","","","",""
"7","0.543189","0.00562467","0.0234373","05/02/23 13:57:07 +543189000 ns","0.543189","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"8","0.68027","0.00562467","0.131456","05/02/23 13:57:07 +680270000 ns","0.68027","01 28 02 0A DF","=> Event 1 Status query","","","","28","","","","","","","",""
"9","0.788289","0.00218767","0.102394","05/02/23 13:57:07 +788289000 ns","0.788289","01 06","ACK =>","","","","","","","","","","","",""
"10","0.80131","0.00562467","0.0108333","05/02/23 13:57:07 +801310000 ns","0.80131","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"11","0.945786","0.00218767","0.138851","05/02/23 13:57:07 +945786000 ns","0.945786","01 06","ACK =>","","","","","","","","","","","",""
"12","1.06422","0.00562467","0.116248","05/02/23 13:57:08 +64222000 ns","1.064222","01 2A 02 00 D7","=> Event 1 Status query","","","","2A","","","","","","","",""
"13","1.17828","0.00218767","0.108435","05/02/23 13:57:08 +178282000 ns","1.178282","01 06","ACK =>","","","","","","","","","","","",""
"14","1.28838","0.00218667","0.107915","05/02/23 13:57:08 +288385000 ns","1.288385","01 06","ACK =>","","","","","","","","","","","",""
"15","1.31411","0.00218767","0.0235413","05/02/23 13:57:08 +314113000 ns","1.314113","01 06","ACK =>","","","","","","","","","","","",""
"16","1.33943","0.00562567","0.0231243","05/02/23 13:57:08 +339425000 ns","1.339425","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"17","1.47244","0.00562467","0.127387","05/02/23 13:57:08 +472438000 ns","1.472438","01 2C 02 00 D1","=> Event 1 Status query","","","","2C","","","","","","","",""
"18","1.58431","0.00218667","0.106248","05/02/23 13:57:08 +584311000 ns","1.584311","01 06","ACK =>","","","","","","","","","","","",""
"19","1.69629","0.00218767","0.10979","05/02/23 13:57:08 +696288000 ns","1.696288","01 06","ACK =>","","","","","","","","","","","",""
"20","1.7216","0.00218767","0.0231243","05/02/23 13:57:08 +721600000 ns","1.7216","01 06","ACK =>","","","","","","","","","","","",""
"21","1.74712","0.00562567","0.0233323","05/02/23 13:57:08 +747120000 ns","1.74712","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"22","1.90951","0.00218767","0.156767","05/02/23 13:57:08 +909513000 ns","1.909513","01 06","ACK =>","","","","","","","","","","","",""
"23","1.93493","0.00562467","0.0232293","05/02/23 13:57:08 +934930000 ns","1.93493","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"24","2.06826","0.00562467","0.127706","05/02/23 13:57:09 +68261000 ns","2.068261","01 2F 02 0A D8","=> Event 1 Status query","","","","2F","","","","","","","",""
"25","2.17805","0.00218667","0.104165","05/02/23 13:57:09 +178051000 ns","2.178051","01 06","ACK =>","","","","","","","","","","","",""
"26","2.18847","0.00562467","0.00822933","05/02/23 13:57:09 +188467000 ns","2.188467","01 10 02 00 ED","=> Static status query","","","","10","","","","","","","",""
"27","2.3294","0.00218667","0.135304","05/02/23 13:57:09 +329396000 ns","2.329396","01 06","ACK =>","","","","","","","","","","","",""
"28","2.44825","0.00562467","0.116665","05/02/23 13:57:09 +448248000 ns","2.448248","01 21 02 00 DC","=> Event 1 Status query","","","","21","","","","","","","",""
"29","2.56023","0.00218767","0.106352","05/02/23 13:57:09 +560225000 ns","2.560225","01 06","ACK =>","","","","","","","","","","","",""
"30","2.67231","0.00218667","0.109894","05/02/23 13:57:09 +672307000 ns","2.672307","01 06","ACK =>","","","","","","","","","","","",""
"31","2.69762","0.00218667","0.0231253","05/02/23 13:57:09 +697619000 ns","2.697619","01 06","ACK =>","","","","","","","","","","","",""
"32","2.72324","0.00562467","0.0234373","05/02/23 13:57:09 +723243000 ns","2.723243","01 12 02 00 EF","=> Static status query","","","","12","","","","","","","",""
"33","2.86418","0.00562567","0.13531","05/02/23 13:57:09 +864178000 ns","2.864178","01 23 02 00 DE","=> Event 1 Status query","","","","23","","","","","","","",""
"34","2.97407","0.00218767","0.104268","05/02/23 13:57:09 +974072000 ns","2.974072","01 06","ACK =>","","","","","","","","","","","",""
"35","3.08428","0.00218767","0.108019","05/02/23 13:57:10 +84279000 ns","3.084279","01 06","ACK =>","","","","","","","","","","","",""
"36","3.11022","0.00218767","0.0237493","05/02/23 13:57:10 +110216000 ns","3.110216","01 06","ACK =>","","","","","","","","","","","",""
"37","3.13595","0.00562467","0.0235413","05/02/23 13:57:10 +135945000 ns","3.135945","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"38","3.29385","0.00218767","0.152282","05/02/23 13:57:10 +293852000 ns","3.293852","01 06","ACK =>","","","","","","","","","","","",""
"39","3.31927","0.00562467","0.0232283","05/02/23 13:57:10 +319268000 ns","3.319268","01 15 02 00 E8","=> Static status query","","","","15","","","","","","","",""
"40","3.4602","0.00562567","0.13531","05/02/23 13:57:10 +460203000 ns","3.460203","01 26 02 0A D1","=> Event 1 Status query","","","","26","","","","","","","",""
"41","3.56801","0.00218767","0.102185","05/02/23 13:57:10 +568014000 ns","3.568014","01 06","ACK =>","","","","","","","","","","","",""
"42","3.58124","0.00562467","0.0110413","05/02/23 13:57:10 +581243000 ns","3.581243","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"43","3.72541","0.00218767","0.138539","05/02/23 13:57:10 +725407000 ns","3.725407","01 06","ACK =>","","","","","","","","","","","",""
"44","3.74291","0.00562467","0.0153123","05/02/23 13:57:10 +742907000 ns","3.742907","01 28 02 00 D5","=> Event 1 Status query","","","","28","","","","","","","",""
"45","3.88541","0.00218667","0.136873","05/02/23 13:57:10 +885405000 ns","3.885405","01 06","ACK =>","","","","","","","","","","","",""
"46","4.00457","0.00562467","0.116977","05/02/23 13:57:11 +4569000 ns","4.004569","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"47","4.21227","0.00218767","0.202073","05/02/23 13:57:11 +212267000 ns","4.212267","01 06","ACK =>","","","","","","","","","","","",""
"48","4.22498","0.00218667","0.0105213","05/02/23 13:57:11 +224976000 ns","4.224976","01 06","ACK =>","","","","","","","","","","","",""
"49","4.3282","0.00562467","0.10104","05/02/23 13:57:11 +328203000 ns","4.328203","01 2A 02 00 D7","=> Event 1 Status query","","","","2A","","","","","","","",""
"50","4.45622","0.00218667","0.122394","05/02/23 13:57:11 +456222000 ns","4.456222","01 06","ACK =>","","","","","","","","","","","",""
"51","4.48226","0.00218767","0.0238543","05/02/23 13:57:11 +482263000 ns","4.482263","01 06","ACK =>","","","","","","","","","","","",""
"52","4.50768","0.00562467","0.0232283","05/02/23 13:57:11 +507679000 ns","4.507679","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"53","4.6483","0.00562467","0.134998","05/02/23 13:57:11 +648302000 ns","4.648302","01 2C 02 00 D1","=> Event 1 Status query","","","","2C","","","","","","","",""
