"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.075651","0.00562567","0.075651","05/02/23 13:11:19 +75651000 ns","0.075651","01 1C 02 00 E1","=> Static status query","","","","1C","","","","","","","",""
"2","0.27971","0.00218767","0.198433","05/02/23 13:11:19 +279710000 ns","0.27971","01 06","ACK =>","","","","","","","","","","","",""
"3","0.295856","0.00218767","0.0139583","05/02/23 13:11:19 +295856000 ns","0.295856","01 06","ACK =>","","","","","","","","","","","",""
"4","0.399604","0.00562467","0.10156","05/02/23 13:11:19 +399604000 ns","0.399604","01 2D 02 00 D0","=> Event 1 Status query","","","","2D","","","","","","","",""
"5","0.527616","0.00218767","0.122387","05/02/23 13:11:19 +527616000 ns","0.527616","01 06","ACK =>","","","","","","","","","","","",""
"6","0.553241","0.00218767","0.0234373","05/02/23 13:11:19 +553241000 ns","0.553241","01 06","ACK =>","","","","","","","","","","","",""
"7","0.578761","0.00562567","0.0233323","05/02/23 13:11:19 +578761000 ns","0.578761","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"8","0.737092","0.00218767","0.152705","05/02/23 13:11:19 +737092000 ns","0.737092","01 06","ACK =>","","","","","","","","","","","",""
"9","0.763133","0.00562467","0.0238533","05/02/23 13:11:19 +763133000 ns","0.763133","01 2F 02 00 D2","=> Event 1 Status query","","","","2F","","","","","","","",""
"10","0.917193","0.00218767","0.148435","05/02/23 13:11:19 +917193000 ns","0.917193","01 06","ACK =>","","","","","","","","","","","",""
"11","0.942713","0.00562567","0.0233323","05/02/23 13:11:19 +942713000 ns","0.942713","01 10 02 00 ED","=> Static status query","","","","10","","","","","","","",""
"12","1.07552","0.00562467","0.127185","05/02/23 13:11:20 +75524000 ns","1.075524","01 21 02 0A D6","=> Event 1 Status query","","","","21","","","","","","","",""
"13","1.18667","0.00218667","0.105519","05/02/23 13:11:20 +186668000 ns","1.186668","01 06","ACK =>","","","","","","","","","","","",""
"14","1.19761","0.00562467","0.00875033","05/02/23 13:11:20 +197605000 ns","1.197605","01 12 02 00 EF","=> Static status query","","","","12","","","","","","","",""
"15","1.34125","0.00218767","0.138018","05/02/23 13:11:20 +341248000 ns","1.341248","01 06","ACK =>","","","","","","","","","","","",""
"16","1.45957","0.00562467","0.116137","05/02/23 13:11:20 +459573000 ns","1.459573","01 23 02 00 DE","=> Event 1 Status query","","","","23","","","","","","","",""
"17","1.57166","0.00218667","0.106457","05/02/23 13:11:20 +571655000 ns","1.571655","01 06","ACK =>","","","","","","","","","","","",""
"18","1.68363","0.00218767","0.10979","05/02/23 13:11:20 +683632000 ns","1.683632","01 06","ACK =>","","","","","","","","","","","",""
"19","1.70905","0.00218767","0.0232283","05/02/23 13:11:20 +709048000 ns","1.709048","01 06","ACK =>","","","","","","","","","","","",""
"20","1.73467","0.00562467","0.0234373","05/02/23 13:11:20 +734673000 ns","1.734673","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"21","1.8678","0.00562567","0.127497","05/02/23 13:11:20 +867795000 ns","1.867795","01 25 02 00 D8","=> Event 1 Status query","","","","25","","","","","","","",""
"22","1.98352","0.00218667","0.110102","05/02/23 13:11:20 +983523000 ns","1.983523","01 06","ACK =>","","","","","","","","","","","",""
"23","2.0956","0.00218767","0.109894","05/02/23 13:11:21 +95604000 ns","2.095604","01 06","ACK =>","","","","","","","","","","","",""
"24","2.12133","0.00218767","0.0235413","05/02/23 13:11:21 +121333000 ns","2.121333","01 06","ACK =>","","","","","","","","","","","",""
"25","2.14685","0.00562467","0.0233323","05/02/23 13:11:21 +146853000 ns","2.146853","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"26","2.30487","0.00218767","0.152393","05/02/23 13:11:21 +304871000 ns","2.304871","01 06","ACK =>","","","","","","","","","","","",""
"27","2.33039","0.00562467","0.0233333","05/02/23 13:11:21 +330392000 ns","2.330392","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"28","2.46351","0.00562467","0.127491","05/02/23 13:11:21 +463508000 ns","2.463508","01 28 02 0A DF","=> Event 1 Status query","","","","28","","","","","","","",""
"29","2.57851","0.00218767","0.109373","05/02/23 13:11:21 +578506000 ns","2.578506","01 06","ACK =>","","","","","","","","","","","",""
"30","2.59267","0.00562567","0.0119783","05/02/23 13:11:21 +592672000 ns","2.592672","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
