"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.118054","0.00218767","0.118054","05/02/23 13:12:49 +118054000 ns","0.118054","01 06","ACK <=","","","","","","","","","","","",""
"2","0.2069","0.00677067","0.0866583","05/02/23 13:12:49 +206900000 ns","0.2069","01 20 03 18 00 C4","<= Event 1 Status reply","18 00","","","20","","","","","","","",""
"3","0.320433","0.0106247","0.106762","05/02/23 13:12:49 +320433000 ns","0.320433","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"4","0.443758","0.00218767","0.1127","05/02/23 13:12:49 +443758000 ns","0.443758","01 06","ACK <=","","","","","","","","","","","",""
"5","0.452299","0.00677067","0.00635333","05/02/23 13:12:49 +452299000 ns","0.452299","01 22 03 18 00 C6","<= Event 1 Status reply","18 00","","","22","","","","","","","",""
"6","0.622388","0.00249967","0.163318","05/02/23 13:12:49 +622388000 ns","0.622388","01 06","ACK <=","","","","","","","","","","","",""
"7","0.631346","0.0102077","0.00645833","05/02/23 13:12:49 +631346000 ns","0.631346","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"8","0.807586","0.00218767","0.166032","05/02/23 13:12:49 +807586000 ns","0.807586","01 06","ACK <=","","","","","","","","","","","",""
"9","0.817586","0.00676467","0.00781233","05/02/23 13:12:49 +817586000 ns","0.817586","01 24 03 18 00 C0","<= Event 1 Status reply","18 00","","","24","","","","","","","",""
"10","0.986841","0.00218767","0.16249","05/02/23 13:12:49 +986841000 ns","0.986841","01 06","ACK <=","","","","","","","","","","","",""
"11","0.995799","0.0102087","0.00677033","05/02/23 13:12:49 +995799000 ns","0.995799","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"12","1.11933","0.00218767","0.113324","05/02/23 13:12:50 +119332000 ns","1.119332","01 06","ACK <=","","","","","","","","","","","",""
"13","1.20693","0.0102077","0.0854093","05/02/23 13:12:50 +206929000 ns","1.206929","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"14","1.22162","0.00697867","0.00447933","05/02/23 13:12:50 +221616000 ns","1.221616","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
"15","1.24296","0.00218767","0.0143683","05/02/23 13:12:50 +242963000 ns","1.242963","01 06","ACK <=","","","","","","","","","","","",""
"16","1.38045","0.0105207","0.135303","05/02/23 13:12:50 +380454000 ns","1.380454","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"17","1.50388","0.00218767","0.112908","05/02/23 13:12:50 +503883000 ns","1.503883","01 06","ACK <=","","","","","","","","","","","",""
"18","1.59263","0.0106247","0.0865543","05/02/23 13:12:50 +592625000 ns","1.592625","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"19","1.60721","0.00697967","0.00395833","05/02/23 13:12:50 +607208000 ns","1.607208","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"20","1.77865","0.00218667","0.164463","05/02/23 13:12:50 +778651000 ns","1.778651","01 06","ACK <=","","","","","","","","","","","",""
"21","1.78761","0.0102077","0.00677133","05/02/23 13:12:50 +787609000 ns","1.787609","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"22","1.91645","0.00218767","0.118637","05/02/23 13:12:50 +916454000 ns","1.916454","01 06","ACK <=","","","","","","","","","","","",""
"23","1.99843","0.0105207","0.0797843","05/02/23 13:12:50 +998426000 ns","1.998426","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"24","2.01311","0.00677067","0.00416633","05/02/23 13:12:51 +13113000 ns","2.013113","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"25","2.18851","0.00218767","0.168629","05/02/23 13:12:51 +188513000 ns","2.188513","01 06","ACK <=","","","","","","","","","","","",""
"26","2.19289","0.0102087","0.00218733","05/02/23 13:12:51 +192888000 ns","2.192888","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"27","2.36767","0.00218667","0.164574","05/02/23 13:12:51 +367671000 ns","2.367671","01 06","ACK <=","","","","","","","","","","","",""
"28","2.37673","0.0107287","0.00687533","05/02/23 13:12:51 +376733000 ns","2.376733","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"29","2.49849","0.00239567","0.111027","05/02/23 13:12:51 +498489000 ns","2.498489","01 06","ACK <=","","","","","","","","","","","",""
"30","2.58859","0.0105147","0.0877063","05/02/23 13:12:51 +588591000 ns","2.588591","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"31","2.60327","0.00677067","0.00416633","05/02/23 13:12:51 +603272000 ns","2.603272","01 2D 03 18 00 C9","<= Event 1 Status reply","18 00","","","2D","","","","","","","",""
"32","2.62463","0.00218767","0.0145833","05/02/23 13:12:51 +624626000 ns","2.624626","01 06","ACK <=","","","","","","","","","","","",""
"33","2.76306","0.0105207","0.136241","05/02/23 13:12:51 +763055000 ns","2.763055","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"34","2.88721","0.00218667","0.113637","05/02/23 13:12:51 +887213000 ns","2.887213","01 06","ACK <=","","","","","","","","","","","",""
"35","2.97481","0.0105207","0.0854093","05/02/23 13:12:51 +974809000 ns","2.974809","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"36","2.99085","0.00677067","0.00552033","05/02/23 13:12:51 +990850000 ns","2.99085","01 2F 03 18 00 CB","<= Event 1 Status reply","18 00","","","2F","","","","","","","",""
"37","3.16896","0.00218767","0.171338","05/02/23 13:12:52 +168959000 ns","3.168959","01 06","ACK <=","","","","","","","","","","","",""
"38","3.17333","0.0105207","0.00218733","05/02/23 13:12:52 +173334000 ns","3.173334","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"39","3.29833","0.00218767","0.11447","05/02/23 13:12:52 +298325000 ns","3.298325","01 06","ACK <=","","","","","","","","","","","",""
"40","3.38676","0.0105207","0.0862423","05/02/23 13:12:52 +386755000 ns","3.386755","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"41","3.4053","0.00697967","0.00802033","05/02/23 13:12:52 +405296000 ns","3.405296","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"42","3.57497","0.00260367","0.162692","05/02/23 13:12:52 +574968000 ns","3.574968","01 06","ACK <=","","","","","","","","","","","",""
"43","3.58403","0.0102087","0.00645833","05/02/23 13:12:52 +584030000 ns","3.58403","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"44","3.70725","0.00218767","0.113012","05/02/23 13:12:52 +707251000 ns","3.707251","01 06","ACK <=","","","","","","","","","","","",""
"45","3.7938","0.0106247","0.0843663","05/02/23 13:12:52 +793805000 ns","3.793805","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"46","3.8087","0.00729167","0.00427133","05/02/23 13:12:52 +808701000 ns","3.808701","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"47","3.91921","0.00677067","0.10322","05/02/23 13:12:52 +919213000 ns","3.919213","01 24 03 99 00 41","<= Event 1 Status reply","99 00","Emergency Open","","24","","","","","","","",""
"48","3.93546","0.00677067","0.00947933","05/02/23 13:12:52 +935463000 ns","3.935463","01 25 03 81 00 58","<= Event 1 Status reply","81 00","Emergency Open","","25","","","","","","","",""
"49","3.95785","0.00218767","0.0156183","05/02/23 13:12:52 +957852000 ns","3.957852","01 06","ACK <=","","","","","","","","","","","",""
"50","4.08847","0.0108337","0.128428","05/02/23 13:12:53 +88468000 ns","4.088468","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"51","4.11618","0.00218767","0.0168743","05/02/23 13:12:53 +116176000 ns","4.116176","01 06","ACK <=","","","","","","","","","","","",""
"52","4.2821","0.00218767","0.163734","05/02/23 13:12:53 +282098000 ns","4.282098","01 06","ACK <=","","","","","","","","","","","",""
"53","4.29126","0.0105207","0.00697833","05/02/23 13:12:53 +291264000 ns","4.291264","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"54","4.31439","0.00218767","0.0126043","05/02/23 13:12:53 +314389000 ns","4.314389","01 06","ACK <=","","","","","","","","","","","",""
"55","4.4499","0.00802067","0.133324","05/02/23 13:12:53 +449901000 ns","4.449901","01 28 03 08 31 00 D5","<= Event 1 Status reply","01 00","Emergency Open","","28","","","","","","","",""
"56","4.62207","0.00218667","0.164151","05/02/23 13:12:53 +622073000 ns","4.622073","01 06","ACK <=","","","","","","","","","","","",""
