"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.00091","0.00239567","0.00091","05/02/23 13:09:00 +910000 ns","0.00091","03 D3","","","","","","","","","","","","",""
"2","0.167769","0.00218767","0.164463","05/02/23 13:09:00 +167769000 ns","0.167769","01 06","ACK <=","","","","","","","","","","","",""
"3","0.176519","0.0104167","0.00656233","05/02/23 13:09:00 +176519000 ns","0.176519","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"4","0.376294","0.00218767","0.189358","05/02/23 13:09:00 +376294000 ns","0.376294","01 06","ACK <=","","","","","","","","","","","",""
"5","0.385044","0.0103117","0.00656233","05/02/23 13:09:00 +385044000 ns","0.385044","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"6","0.513993","0.00218767","0.118637","05/02/23 13:09:00 +513993000 ns","0.513993","01 06","ACK <=","","","","","","","","","","","",""
"7","0.593152","0.0106247","0.0769713","05/02/23 13:09:00 +593152000 ns","0.593152","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"8","0.60784","0.00812467","0.00406333","05/02/23 13:09:00 +607840000 ns","0.60784","01 20 03 08 31 03 DE","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","20","","","","","","","",""
"9","0.629089","0.00218767","0.0131243","05/02/23 13:09:00 +629089000 ns","0.629089","01 06","ACK <=","","","","","","","","","","","",""
"10","0.663151","0.0102087","0.0318743","05/02/23 13:09:00 +663151000 ns","0.663151","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"11","0.837198","0.00218667","0.163838","05/02/23 13:09:00 +837198000 ns","0.837198","01 06","ACK <=","","","","","","","","","","","",""
"12","0.846989","0.0106247","0.00760433","05/02/23 13:09:00 +846989000 ns","0.846989","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"13","0.967918","0.00218767","0.110304","05/02/23 13:09:00 +967918000 ns","0.967918","01 06","ACK <=","","","","","","","","","","","",""
"14","1.05531","0.0106247","0.0852003","05/02/23 13:09:01 +55306000 ns","1.055306","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"15","1.07228","0.00822867","0.00635433","05/02/23 13:09:01 +72285000 ns","1.072285","01 23 03 08 31 03 DD","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","23","","","","","","","",""
"16","1.09458","0.00218767","0.0140623","05/02/23 13:09:01 +94576000 ns","1.094576","01 06","ACK <=","","","","","","","","","","","",""
"17","1.1279","0.0104167","0.0311383","05/02/23 13:09:01 +127902000 ns","1.127902","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"18","1.30331","0.00218667","0.164991","05/02/23 13:09:01 +303310000 ns","1.30331","01 06","ACK <=","","","","","","","","","","","",""
"19","1.31309","0.0103117","0.00759833","05/02/23 13:09:01 +313095000 ns","1.313095","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"20","1.43559","0.00260367","0.112179","05/02/23 13:09:01 +435586000 ns","1.435586","01 06","ACK <=","","","","","","","","","","","",""
"21","1.52172","0.0106247","0.0835343","05/02/23 13:09:01 +521724000 ns","1.521724","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"22","1.53881","0.00791667","0.00645833","05/02/23 13:09:01 +538807000 ns","1.538807","01 26 03 08 31 03 D8","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","26","","","","","","","",""
"23","1.5611","0.00218767","0.0143743","05/02/23 13:09:01 +561098000 ns","1.561098","01 06","ACK <=","","","","","","","","","","","",""
"24","1.59474","0.0105207","0.0314573","05/02/23 13:09:01 +594743000 ns","1.594743","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"25","1.72046","0.00218767","0.1152","05/02/23 13:09:01 +720464000 ns","1.720464","01 06","ACK <=","","","","","","","","","","","",""
"26","1.80941","0.0105207","0.0867623","05/02/23 13:09:01 +809414000 ns","1.809414","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"27","1.82796","0.00801367","0.00802133","05/02/23 13:09:01 +827956000 ns","1.827956","01 28 03 08 31 03 D6","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","28","","","","","","","",""
"28","1.99867","0.00218767","0.162699","05/02/23 13:09:01 +998669000 ns","1.998669","01 06","ACK <=","","","","","","","","","","","",""
"29","2.00784","0.0103127","0.00697833","05/02/23 13:09:02 +7835000 ns","2.007835","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"30","2.17886","0.00218767","0.160713","05/02/23 13:09:02 +178861000 ns","2.178861","01 06","ACK <=","","","","","","","","","","","",""
"31","2.18771","0.0105207","0.00666633","05/02/23 13:09:02 +187715000 ns","2.187715","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"32","2.31552","0.00218767","0.117283","05/02/23 13:09:02 +315519000 ns","2.315519","01 06","ACK <=","","","","","","","","","","","",""
"33","2.3978","0.0106247","0.0800963","05/02/23 13:09:02 +397803000 ns","2.397803","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"34","2.4127","0.00854167","0.00427033","05/02/23 13:09:02 +412698000 ns","2.412698","01 2B 03 08 31 03 D5","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","2B","","","","","","","",""
"35","2.43187","0.00218667","0.0106253","05/02/23 13:09:02 +431865000 ns","2.431865","01 06","ACK <=","","","","","","","","","","","",""
"36","2.47102","0.0103127","0.0369723","05/02/23 13:09:02 +471024000 ns","2.471024","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"37","2.64299","0.00218767","0.161657","05/02/23 13:09:02 +642994000 ns","2.642994","01 06","ACK <=","","","","","","","","","","","",""
"38","2.65174","0.0104167","0.00656233","05/02/23 13:09:02 +651744000 ns","2.651744","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"39","2.78131","0.00218767","0.119151","05/02/23 13:09:02 +781312000 ns","2.781312","01 06","ACK <=","","","","","","","","","","","",""
"40","2.86006","0.0106247","0.0765613","05/02/23 13:09:02 +860061000 ns","2.860061","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"41","2.87454","0.00833367","0.00385333","05/02/23 13:09:02 +874539000 ns","2.874539","01 2E 03 08 31 03 D0","<= Event 1 Status reply","01 03","Emergency Open, Paddles Forced","","2E","","","","","","","",""
"42","2.89557","0.00218767","0.0127013","05/02/23 13:09:02 +895574000 ns","2.895574","01 06","ACK <=","","","","","","","","","","","",""
"43","2.9286","0.0104157","0.0308333","05/02/23 13:09:02 +928595000 ns","2.928595","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"44","3.0689","0.00677067","0.129887","05/02/23 13:09:03 +68898000 ns","3.068898","01 20 03 80 03 5F","<= Event 1 Status reply","80 03","Paddles Forced","","20","","","","","","","",""
"45","3.08952","0.00218767","0.0138543","05/02/23 13:09:03 +89523000 ns","3.089523","01 06","ACK <=","","","","","","","","","","","",""
"46","3.22753","0.0112497","0.135817","05/02/23 13:09:03 +227528000 ns","3.227528","01 11 05 03 08 31 0C 03 E6","<= Static status reply","","","","11","","","","","","","",""
"47","3.25003","0.00218767","0.0112503","05/02/23 13:09:03 +250028000 ns","3.250028","01 06","ACK <=","","","","","","","","","","","",""
"48","3.38741","0.00677067","0.135199","05/02/23 13:09:03 +387415000 ns","3.387415","01 22 03 00 03 DD","<= Event 1 Status reply","00 03","Paddles Forced","","22","","","","","","","",""
"49","3.41085","0.00218767","0.0166593","05/02/23 13:09:03 +410845000 ns","3.410845","01 06","ACK <=","","","","","","","","","","","",""
"50","3.54854","0.0106247","0.135512","05/02/23 13:09:03 +548545000 ns","3.548545","01 13 05 03 08 31 0C 03 E4","<= Static status reply","","","","13","","","","","","","",""
"51","3.57146","0.00218767","0.0122913","05/02/23 13:09:03 +571461000 ns","3.571461","01 06","ACK <=","","","","","","","","","","","",""
"52","3.70093","0.00729167","0.127283","05/02/23 13:09:03 +700932000 ns","3.700932","01 24 03 00 03 DB","<= Event 1 Status reply","00 03","Paddles Forced","","24","","","","","","","",""
"53","3.72135","0.00218767","0.0131243","05/02/23 13:09:03 +721348000 ns","3.721348","01 06","ACK <=","","","","","","","","","","","",""
"54","3.85394","0.00708367","0.130401","05/02/23 13:09:03 +853937000 ns","3.853937","01 25 03 00 03 DA","<= Event 1 Status reply","00 03","Paddles Forced","","25","","","","","","","",""
"55","3.87696","0.00218767","0.0159363","05/02/23 13:09:03 +876957000 ns","3.876957","01 06","ACK <=","","","","","","","","","","","",""
"56","4.01622","0.0104167","0.137074","05/02/23 13:09:04 +16219000 ns","4.016219","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"57","4.03893","0.00218767","0.0122913","05/02/23 13:09:04 +38927000 ns","4.038927","01 06","ACK <=","","","","","","","","","","","",""
"58","4.17641","0.00677067","0.135297","05/02/23 13:09:04 +176412000 ns","4.176412","01 27 03 00 03 D8","<= Event 1 Status reply","00 03","Paddles Forced","","27","","","","","","","",""
"59","4.2962","0.00218767","0.113012","05/02/23 13:09:04 +296195000 ns","4.296195","01 06","ACK <=","","","","","","","","","","","",""
"60","4.38369","0.00677067","0.0853043","05/02/23 13:09:04 +383687000 ns","4.383687","01 27 03 00 03 D8","<= Event 1 Status reply","00 03","Paddles Forced","","27","","","","","","","",""
