"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.128998","0.00218767","0.128998","05/02/23 13:11:52 +128998000 ns","0.128998","01 06","ACK =>","","","","","","","","","","","",""
"2","0.154415","0.00562467","0.0232293","05/02/23 13:11:52 +154415000 ns","0.154415","01 12 02 00 EF","=> Static status query","","","","12","","","","","","","",""
"3","0.28785","0.00562467","0.12781","05/02/23 13:11:52 +287850000 ns","0.28785","01 23 02 0A D4","=> Event 1 Status query","","","","23","","","","","","","",""
"4","0.398265","0.00218667","0.10479","05/02/23 13:11:52 +398265000 ns","0.398265","01 06","ACK =>","","","","","","","","","","","",""
"5","0.411181","0.00562467","0.0107293","05/02/23 13:11:52 +411181000 ns","0.411181","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"6","0.456493","0.00218767","0.0396873","05/02/23 13:11:52 +456493000 ns","0.456493","01 06","ACK =>","","","","","","","","","","","",""
"7","0.571797","0.00562467","0.113116","05/02/23 13:11:52 +571797000 ns","0.571797","01 25 02 00 D8","=> Event 1 Status query","","","","25","","","","","","","",""
"8","0.686378","0.00218767","0.108956","05/02/23 13:11:52 +686378000 ns","0.686378","01 06","ACK =>","","","","","","","","","","","",""
"9","0.803668","0.00218767","0.115102","05/02/23 13:11:52 +803668000 ns","0.803668","01 06","ACK =>","","","","","","","","","","","",""
"10","0.829501","0.00218767","0.0236453","05/02/23 13:11:52 +829501000 ns","0.829501","01 06","ACK =>","","","","","","","","","","","",""
"11","0.854917","0.00562467","0.0232283","05/02/23 13:11:52 +854917000 ns","0.854917","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"12","1.01304","0.00218767","0.152497","05/02/23 13:11:53 +13039000 ns","1.013039","01 06","ACK =>","","","","","","","","","","","",""
"13","1.03846","0.00562467","0.0232293","05/02/23 13:11:53 +38456000 ns","1.038456","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"14","1.17189","0.00562467","0.12781","05/02/23 13:11:53 +171891000 ns","1.171891","01 28 02 0A DF","=> Event 1 Status query","","","","28","","","","","","","",""
"15","1.28303","0.00218767","0.105519","05/02/23 13:11:53 +283035000 ns","1.283035","01 06","ACK =>","","","","","","","","","","","",""
"16","1.29512","0.00562467","0.00989533","05/02/23 13:11:53 +295118000 ns","1.295118","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"17","1.34022","0.00218767","0.0394783","05/02/23 13:11:53 +340221000 ns","1.340221","01 06","ACK =>","","","","","","","","","","","",""
"18","1.48125","0.00218767","0.138845","05/02/23 13:11:53 +481254000 ns","1.481254","01 06","ACK =>","","","","","","","","","","","",""
"19","1.50709","0.00562467","0.0236453","05/02/23 13:11:53 +507087000 ns","1.507087","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
