"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"1","139.132","0.00104167","139.132","04/25/23 08:57:17 +131934000 ns","139.1319","E0","",""
"2","141.727","0.00562467","2.59361","04/25/23 08:57:19 +726584000 ns","141.7266","01 D0 02 FE D3","=> Initialise","D0"
"3","142.029","0.00562567","0.297182","04/25/23 08:57:20 +29391000 ns","142.0294","01 D0 02 FE D3","=> Initialise","D0"
"4","142.332","0.00562467","0.297078","04/25/23 08:57:20 +332095000 ns","142.3321","01 D0 02 FE D3","=> Initialise","D0"
"5","144.927","0.00562567","2.5892","04/25/23 08:57:22 +926920000 ns","144.9269","01 D0 02 FE D3","=> Initialise","D0"
"6","144.94","0.00218767","0.00706933","04/25/23 08:57:22 +939615000 ns","144.9396","01 06","ACK <=",""
"7","144.961","0.0107297","0.0192703","04/25/23 08:57:22 +961073000 ns","144.9611","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","D0"
"8","144.998","0.00218767","0.0262623","04/25/23 08:57:22 +998065000 ns","144.9981","01 06","ACK =>",""
"9","154.892","0.00562467","9.89181","04/25/23 08:57:32 +892058000 ns","154.8921","01 61 02 7F E3","<= EBLU Query Reply","61"
"10","154.933","0.00218667","0.0357613","04/25/23 08:57:32 +933444000 ns","154.9334","01 06","ACK =>",""
"11","154.94","0.00677067","0.00465533","04/25/23 08:57:32 +940286000 ns","154.9403","01 22 03 80 C0 9E","<= Event 1 Status reply","22"
"12","154.982","0.00218767","0.0346153","04/25/23 08:57:32 +981672000 ns","154.9817","01 06","ACK =>",""
"13","156.468","0.00677067","1.48403","04/25/23 08:57:34 +467890000 ns","156.4679","01 C1 03 55 55 3D","=> Update breakthrough force","C1"
"14","156.489","0.00229167","0.0141473","04/25/23 08:57:34 +488808000 ns","156.4888","01 06","ACK <=",""
"15","156.498","0.00708367","0.00729133","04/25/23 08:57:34 +498391000 ns","156.4984","01 83 03 55 55 7F","<= Breakthrough force reply","83"
"16","156.533","0.00218667","0.0279293","04/25/23 08:57:34 +533404000 ns","156.5334","01 06","ACK =>",""
"17","159.682","0.00562567","3.14691","04/25/23 08:57:37 +682497000 ns","159.6825","01 B2 02 FF B0","=> EBLU Query","B2"
"18","159.701","0.00218667","0.0128253","04/25/23 08:57:37 +700948000 ns","159.7009","01 06","ACK <=",""
"19","159.705","0.00562567","0.00145833","04/25/23 08:57:37 +704593000 ns","159.7046","01 64 02 7F E6","<= EBLU Query Reply","64"
"20","159.749","0.00218767","0.0392563","04/25/23 08:57:37 +749475000 ns","159.7495","01 06","ACK =>",""
"21","162.928","0.00562567","3.17638","04/25/23 08:57:40 +928041000 ns","162.928","01 B3 02 FF B1","=> EBLU Query","B3"
"22","162.946","0.00218667","0.0124413","04/25/23 08:57:40 +946108000 ns","162.9461","01 06","ACK <=",""
"23","162.95","0.00562567","0.00145833","04/25/23 08:57:40 +949753000 ns","162.9498","01 65 02 7F E7","<= EBLU Query Reply","65"
"24","163.1","0.00218767","0.14443","04/25/23 08:57:41 +99809000 ns","163.0998","01 06","ACK =>",""
