"Time","Type","SOM","Type/SEQ","length","data","LRC"
"0.009215","ACK =>","","","","",""
"0.01361","<= Event 1 Status reply","01","23","03","18 00 C7","C7"
"0.033277","ACK =>","","","","",""
"0.058589","ACK =>","","","","",""
"0.184629","=> Static status query","01","12","02","00 EF","EF"
"0.203489","ACK <=","","","","",""
"0.214114","<= Static status reply","01","14","05","03 08 31 0C 03","E3"
"0.345043","=> Event 1 Status query","01","23","02","6F B1","B1"
"0.36389","ACK <=","","","","",""
"0.422639","<= Static status reply","01","14","05","03 08 31 0C 03","E3"
"0.553164","ACK =>","","","","",""
"0.557005","<= Event 1 Status reply","01","25","03","18 00 C1","C1"
"0.577226","ACK =>","","","","",""
"0.602539","ACK =>","","","","",""
"0.753884","=> Static status query","01","14","02","00 E9","E9"
"0.767093","ACK <=","","","","",""
"0.776878","<= Static status reply","01","16","05","03 08 31 0C 03","E1"
"0.905027","=> Event 1 Status query","01","25","02","6F B7","B7"
"0.917598","ACK <=","","","","",""
"0.985195","<= Static status reply","01","16","05","03 08 31 0C 03","E1"
"1.113148","ACK =>","","","","",""
"1.117478","<= Event 1 Status reply","01","27","03","18 00 C3","C3"
"1.137106","ACK =>","","","","",""
"1.162418","ACK =>","","","","",""
"151.3457","","","","","",""
"153.9533","=> Initialise","01","D0","02","FE D3","D3"
"154.2559","=> Initialise","01","D0","02","FE D3","D3"
"154.5835","=> Initialise","01","D0","02","FE D3","D3"
"157.1784","=> Initialise","01","D0","02","FE D3","D3"
"157.191","ACK <=","","","","",""
"157.2128","<= Initialise reply","01","D0","04","08 31 0B 08","29"
"157.2552","ACK =>","","","","",""
"167.1414","<= EBLU Query Reply","01","61","02","7F E3","E3"
"167.1752","ACK =>","","","","",""
"167.1791","<= Event 1 Status reply","01","22","03","80 C0 9E","9E"
"167.2233","ACK =>","","","","",""
"168.711","=> Update breakthrough force","01","C1","03","55 55 3D","3D"
"168.7258","ACK <=","","","","",""
"168.7341","<= Breakthrough force reply","01","83","03","55 55 7F","7F"
"168.775","ACK =>","","","","",""
"171.9267","=> EBLU Query","01","B2","02","FF B0","B0"
"171.9392","ACK <=","","","","",""
"171.9473","<= EBLU Query Reply","01","64","02","7F E6","E6"
"171.9906","ACK =>","","","","",""
"175.1662","=> EBLU Query","01","B3","02","FF B1","B1"
"175.1813","ACK <=","","","","",""
"175.1908","<= EBLU Query Reply","01","65","02","7F E7","E7"
"175.3406","ACK =>","","","","",""
"178.4141","=> EBLU Query","01","B4","02","FF B6","B6"
"178.4272","ACK <=","","","","",""
"178.4368","<= EBLU Query Reply","01","66","02","7F E4","E4"
