"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.104691","0.00989567","0.104691","05/15/23 10:44:37 +104691000 ns","0.104691","01 13 05 03 00 00 03 E9","<= Static status reply","","","","13","","","","","","","",""
"2","0.231661","0.00218767","0.117074","05/15/23 10:44:37 +231661000 ns","0.231661","01 06","ACK <=","","","","","","","","","","","",""
"3","0.314779","0.00947867","0.0809303","05/15/23 10:44:37 +314779000 ns","0.314779","01 13 05 03 00 00 03 E9","<= Static status reply","","","","13","","","","","","","",""
"4","0.329362","0.00697867","0.00510433","05/15/23 10:44:37 +329362000 ns","0.329362","01 24 03 06 00 DE","<= Event 1 Status reply","06 00","","","24","","","","","","","",""
"5","0.449249","0.00218767","0.112908","05/15/23 10:44:37 +449249000 ns","0.449249","01 06","ACK <=","","","","","","","","","","","",""
"6","0.458311","0.00947967","0.00687433","05/15/23 10:44:37 +458311000 ns","0.458311","01 15 05 03 00 00 03 EF","<= Static status reply","","","","15","","","","","","","",""
"7","0.587046","0.00218767","0.119255","05/15/23 10:44:37 +587046000 ns","0.587046","01 06","ACK <=","","","","","","","","","","","",""
"8","0.596838","0.00927067","0.00760433","05/15/23 10:44:37 +596838000 ns","0.596838","01 16 05 03 00 00 03 EC","<= Static status reply","","","","16","","","","","","","",""
"9","0.670586","0.00218767","0.0644773","05/15/23 10:44:37 +670586000 ns","0.670586","01 06","ACK <=","","","","","","","","","","","",""
"10","0.679128","0.00687467","0.00635433","05/15/23 10:44:37 +679128000 ns","0.679128","01 27 03 06 00 DD","<= Event 1 Status reply","06 00","","","27","","","","","","","",""
"11","0.797348","0.00218767","0.111345","05/15/23 10:44:37 +797348000 ns","0.797348","01 06","ACK <=","","","","","","","","","","","",""
"12","0.88557","0.00708267","0.0860343","05/15/23 10:44:37 +885570000 ns","0.88557","01 27 03 06 00 DD","<= Event 1 Status reply","06 00","","","27","","","","","","","",""
"13","0.999311","0.00947967","0.106658","05/15/23 10:44:37 +999311000 ns","0.999311","01 18 05 03 00 00 03 E2","<= Static status reply","","","","18","","","","","","","",""
"14","1.12087","0.00218767","0.112074","05/15/23 10:44:38 +120865000 ns","1.120865","01 06","ACK <=","","","","","","","","","","","",""
"15","1.1293","0.00708367","0.00624933","05/15/23 10:44:38 +129302000 ns","1.129302","01 29 03 06 00 D3","<= Event 1 Status reply","06 00","","","29","","","","","","","",""
"16","1.30075","0.00218767","0.164359","05/15/23 10:44:38 +300745000 ns","1.300745","01 06","ACK <=","","","","","","","","","","","",""
"17","1.30981","0.00916667","0.00687433","05/15/23 10:44:38 +309807000 ns","1.309807","01 1A 05 03 00 00 03 E0","<= Static status reply","","","","1A","","","","","","","",""
"18","1.4876","0.00218667","0.16863","05/15/23 10:44:38 +487604000 ns","1.487604","01 06","ACK <=","","","","","","","","","","","",""
"19","1.49729","0.00937467","0.00750033","05/15/23 10:44:38 +497291000 ns","1.497291","01 1B 05 03 00 00 03 E1","<= Static status reply","","","","1B","","","","","","","",""
"20","1.57156","0.00229167","0.0648953","05/15/23 10:44:38 +571561000 ns","1.571561","01 06","ACK <=","","","","","","","","","","","",""
"21","1.5801","0.00697967","0.00624933","05/15/23 10:44:38 +580102000 ns","1.580102","01 2C 03 06 00 D6","<= Event 1 Status reply","06 00","","","2C","","","","","","","",""
"22","1.70134","0.00218667","0.114262","05/15/23 10:44:38 +701344000 ns","1.701344","01 06","ACK <=","","","","","","","","","","","",""
"23","1.78592","0.00718767","0.0823883","05/15/23 10:44:38 +785919000 ns","1.785919","01 2C 03 06 00 D6","<= Event 1 Status reply","06 00","","","2C","","","","","","","",""
"24","1.89976","0.00947867","0.106658","05/15/23 10:44:38 +899765000 ns","1.899765","01 1D 05 03 00 00 03 E7","<= Static status reply","","","","1D","","","","","","","",""
"25","2.0209","0.00218767","0.111658","05/15/23 10:44:39 +20902000 ns","2.020902","01 06","ACK <=","","","","","","","","","","","",""
"26","2.02934","0.00697967","0.00624933","05/15/23 10:44:39 +29339000 ns","2.029339","01 2E 03 06 00 D4","<= Event 1 Status reply","06 00","","","2E","","","","","","","",""
"27","2.20068","0.00218667","0.164359","05/15/23 10:44:39 +200678000 ns","2.200678","01 06","ACK <=","","","","","","","","","","","",""
"28","2.20964","0.00916667","0.00677133","05/15/23 10:44:39 +209636000 ns","2.209636","01 1F 05 03 00 00 03 E5","<= Static status reply","","","","1F","","","","","","","",""
"29","2.38827","0.00218667","0.169463","05/15/23 10:44:39 +388266000 ns","2.388266","01 06","ACK <=","","","","","","","","","","","",""
"30","2.39785","0.00937467","0.00739633","05/15/23 10:44:39 +397849000 ns","2.397849","01 10 05 03 00 00 03 EA","<= Static status reply","","","","10","","","","","","","",""
"31","2.4717","0.00260367","0.0644783","05/15/23 10:44:39 +471702000 ns","2.471702","01 06","ACK <=","","","","","","","","","","","",""
"32","2.47972","0.00677067","0.00541633","05/15/23 10:44:39 +479722000 ns","2.479722","01 21 03 06 00 DB","<= Event 1 Status reply","06 00","","","21","","","","","","","",""
"33","2.59721","0.00218067","0.110721","05/15/23 10:44:39 +597214000 ns","2.597214","01 06","ACK <=","","","","","","","","","","","",""
"34","2.68648","0.00718667","0.0870823","05/15/23 10:44:39 +686477000 ns","2.686477","01 21 03 06 00 DB","<= Event 1 Status reply","06 00","","","21","","","","","","","",""
"35","2.80022","0.00958367","0.106554","05/15/23 10:44:39 +800218000 ns","2.800218","01 12 05 03 00 00 03 E8","<= Static status reply","","","","12","","","","","","","",""
"36","2.92073","0.00218767","0.110928","05/15/23 10:44:39 +920730000 ns","2.92073","01 06","ACK <=","","","","","","","","","","","",""
"37","2.92927","0.00687467","0.00635433","05/15/23 10:44:39 +929272000 ns","2.929272","01 23 03 06 00 D9","<= Event 1 Status reply","06 00","","","23","","","","","","","",""
"38","3.1004","0.00218767","0.164255","05/15/23 10:44:40 +100402000 ns","3.100402","01 06","ACK <=","","","","","","","","","","","",""
"39","3.10936","0.00937467","0.00677033","05/15/23 10:44:40 +109360000 ns","3.10936","01 14 05 03 00 00 03 EE","<= Static status reply","","","","14","","","","","","","",""
"40","3.28851","0.00218667","0.169776","05/15/23 10:44:40 +288511000 ns","3.288511","01 06","ACK <=","","","","","","","","","","","",""
