"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.100303","0.00218767","0.100303","05/15/23 10:44:37 +100303000 ns","0.100303","01 06","ACK =>","","","","","","","","","","","",""
"2","0.111344","0.00218767","0.00885333","05/15/23 10:44:37 +111344000 ns","0.111344","01 06","ACK =>","","","","","","","","","","","",""
"3","0.212384","0.00562567","0.0988523","05/15/23 10:44:37 +212384000 ns","0.212384","01 2B 02 00 D6","=> Event 1 Status query","","","","2B","","","","","","","",""
"4","0.325403","0.00218767","0.107393","05/15/23 10:44:37 +325403000 ns","0.325403","01 06","ACK =>","","","","","","","","","","","",""
"5","0.336445","0.00218767","0.00885433","05/15/23 10:44:37 +336445000 ns","0.336445","01 06","ACK =>","","","","","","","","","","","",""
"6","0.436339","0.00562467","0.0977063","05/15/23 10:44:37 +436339000 ns","0.436339","01 1C 02 00 E1","=> Static status query","","","","1C","","","","","","","",""
"7","0.469463","0.00218767","0.0274993","05/15/23 10:44:37 +469463000 ns","0.469463","01 06","ACK =>","","","","","","","","","","","",""
"8","0.495088","0.00218767","0.0234373","05/15/23 10:44:37 +495088000 ns","0.495088","01 06","ACK =>","","","","","","","","","","","",""
"9","0.571232","0.00562567","0.0739563","05/15/23 10:44:37 +571232000 ns","0.571232","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"10","0.632892","0.00218667","0.0560343","05/15/23 10:44:37 +632892000 ns","0.632892","01 06","ACK =>","","","","","","","","","","","",""
"11","0.658516","0.00562467","0.0234373","05/15/23 10:44:37 +658516000 ns","0.658516","01 2E 02 0A D9","=> Event 1 Status query","","","","2E","","","","","","","",""
"12","0.784347","0.00562567","0.120206","05/15/23 10:44:37 +784347000 ns","0.784347","01 1F 02 00 E2","=> Static status query","","","","1F","","","","","","","",""
"13","0.992469","0.00218767","0.202496","05/15/23 10:44:37 +992469000 ns","0.992469","01 06","ACK =>","","","","","","","","","","","",""
"14","1.00632","0.00218767","0.0116663","05/15/23 10:44:38 +6323000 ns","1.006323","01 06","ACK =>","","","","","","","","","","","",""
"15","1.1083","0.00562467","0.0997893","05/15/23 10:44:38 +108300000 ns","1.1083","01 20 02 00 DD","=> Event 1 Status query","","","","20","","","","","","","",""
"16","1.23632","0.00218767","0.122394","05/15/23 10:44:38 +236319000 ns","1.236319","01 06","ACK =>","","","","","","","","","","","",""
"17","1.26215","0.00218767","0.0236453","05/15/23 10:44:38 +262152000 ns","1.262152","01 06","ACK =>","","","","","","","","","","","",""
"18","1.28778","0.00562567","0.0234363","05/15/23 10:44:38 +287776000 ns","1.287776","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"19","1.34548","0.00218667","0.0520823","05/15/23 10:44:38 +345484000 ns","1.345484","01 06","ACK =>","","","","","","","","","","","",""
"20","1.47236","0.00562467","0.124686","05/15/23 10:44:38 +472357000 ns","1.472357","01 12 02 00 EF","=> Static status query","","","","12","","","","","","","",""
"21","1.53361","0.00218667","0.0556243","05/15/23 10:44:38 +533606000 ns","1.533606","01 06","ACK =>","","","","","","","","","","","",""
"22","1.55944","0.00562567","0.0236453","05/15/23 10:44:38 +559438000 ns","1.559438","01 23 02 0A D4","=> Event 1 Status query","","","","23","","","","","","","",""
"23","1.6884","0.00562467","0.123331","05/15/23 10:44:38 +688395000 ns","1.688395","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"24","1.89235","0.00218767","0.198329","05/15/23 10:44:38 +892349000 ns","1.892349","01 06","ACK =>","","","","","","","","","","","",""
"25","1.90766","0.00218667","0.0131253","05/15/23 10:44:38 +907662000 ns","1.907662","01 06","ACK =>","","","","","","","","","","","",""
"26","2.00828","0.00562467","0.0984363","05/15/23 10:44:39 +8285000 ns","2.008285","01 25 02 00 D8","=> Event 1 Status query","","","","25","","","","","","","",""
"27","2.13619","0.00218767","0.122283","05/15/23 10:44:39 +136193000 ns","2.136193","01 06","ACK =>","","","","","","","","","","","",""
"28","2.16192","0.00218667","0.0235413","05/15/23 10:44:39 +161922000 ns","2.161922","01 06","ACK =>","","","","","","","","","","","",""
"29","2.18765","0.00562567","0.0235413","05/15/23 10:44:39 +187650000 ns","2.18765","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"30","2.24546","0.00218767","0.0521863","05/15/23 10:44:39 +245462000 ns","2.245462","01 06","ACK =>","","","","","","","","","","","",""
"31","2.37234","0.00562467","0.124685","05/15/23 10:44:39 +372335000 ns","2.372335","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"32","2.43358","0.00218767","0.0556243","05/15/23 10:44:39 +433584000 ns","2.433584","01 06","ACK =>","","","","","","","","","","","",""
"33","2.45921","0.00562567","0.0234363","05/15/23 10:44:39 +459208000 ns","2.459208","01 28 02 0A DF","=> Event 1 Status query","","","","28","","","","","","","",""
"34","2.58431","0.00562567","0.119476","05/15/23 10:44:39 +584310000 ns","2.58431","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"35","2.79222","0.00218667","0.202288","05/15/23 10:44:39 +792224000 ns","2.792224","01 06","ACK =>","","","","","","","","","","","",""
"36","2.80712","0.00218767","0.0127083","05/15/23 10:44:39 +807119000 ns","2.807119","01 06","ACK =>","","","","","","","","","","","",""
"37","2.90826","0.00562467","0.0989563","05/15/23 10:44:39 +908263000 ns","2.908263","01 2A 02 00 D7","=> Event 1 Status query","","","","2A","","","","","","","",""
"38","3.03628","0.00218767","0.122394","05/15/23 10:44:40 +36282000 ns","3.036282","01 06","ACK =>","","","","","","","","","","","",""
"39","3.0618","0.00218767","0.0233323","05/15/23 10:44:40 +61802000 ns","3.061802","01 06","ACK =>","","","","","","","","","","","",""
"40","3.08743","0.00562467","0.0234373","05/15/23 10:44:40 +87427000 ns","3.087427","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
