"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.082036","0.0106247","0.082036","05/02/23 14:13:29 +82036000 ns","0.082036","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
"2","0.096515","0.00708367","0.00385433","05/02/23 14:13:29 +96515000 ns","0.096515","01 2F 03 18 00 CB","<= Event 1 Status reply","18 00","","","2F","","","","","","","",""
"3","0.115994","0.00218767","0.0123953","05/02/23 14:13:29 +115994000 ns","0.115994","01 06","ACK <=","","","","","","","","","","","",""
"4","0.25202","0.0106257","0.133838","05/02/23 14:13:29 +252020000 ns","0.25202","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"5","0.375866","0.00218767","0.11322","05/02/23 14:13:29 +375866000 ns","0.375866","01 06","ACK <=","","","","","","","","","","","",""
"6","0.463775","0.0105207","0.0857213","05/02/23 14:13:29 +463775000 ns","0.463775","01 10 05 03 08 31 0C 03 E7","<= Static status reply","","","","10","","","","","","","",""
"7","0.47867","0.00718767","0.00437433","05/02/23 14:13:29 +478670000 ns","0.47867","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"8","0.647196","0.00218767","0.161338","05/02/23 14:13:29 +647196000 ns","0.647196","01 06","ACK <=","","","","","","","","","","","",""
"9","0.656571","0.0106247","0.00718733","05/02/23 14:13:29 +656571000 ns","0.656571","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"10","0.786562","0.00218767","0.119366","05/02/23 14:13:29 +786562000 ns","0.786562","01 06","ACK <=","","","","","","","","","","","",""
"11","0.865617","0.0106247","0.0768673","05/02/23 14:13:29 +865617000 ns","0.865617","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"12","0.880825","0.00687467","0.00458333","05/02/23 14:13:29 +880825000 ns","0.880825","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"13","1.05082","0.00218767","0.163115","05/02/23 14:13:30 +50815000 ns","1.050815","01 06","ACK <=","","","","","","","","","","","",""
"14","1.05977","0.0106177","0.00677133","05/02/23 14:13:30 +59774000 ns","1.059774","01 14 05 03 08 31 0C 03 E3","<= Static status reply","","","","14","","","","","","","",""
"15","1.23861","0.00218767","0.16822","05/02/23 14:13:30 +238612000 ns","1.238612","01 06","ACK <=","","","","","","","","","","","",""
"16","1.2484","0.0103127","0.00760333","05/02/23 14:13:30 +248403000 ns","1.248403","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"17","1.37121","0.00218767","0.112491","05/02/23 14:13:30 +371207000 ns","1.371207","01 06","ACK <=","","","","","","","","","","","",""
"18","1.45662","0.0106247","0.0832213","05/02/23 14:13:30 +456616000 ns","1.456616","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"19","1.47391","0.00707667","0.00666633","05/02/23 14:13:30 +473907000 ns","1.473907","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
"20","1.49609","0.00218767","0.0151043","05/02/23 14:13:30 +496088000 ns","1.496088","01 06","ACK <=","","","","","","","","","","","",""
"21","1.63462","0.0105207","0.136345","05/02/23 14:13:30 +634621000 ns","1.634621","01 17 05 03 08 31 0C 03 E0","<= Static status reply","","","","17","","","","","","","",""
"22","1.6567","0.00218667","0.0115623","05/02/23 14:13:30 +656704000 ns","1.656704","01 06","ACK <=","","","","","","","","","","","",""
"23","1.79481","0.00677067","0.135922","05/02/23 14:13:30 +794813000 ns","1.794813","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"24","1.91637","0.00218767","0.114783","05/02/23 14:13:30 +916367000 ns","1.916367","01 06","ACK <=","","","","","","","","","","","",""
"25","2.00313","0.00708367","0.0845753","05/02/23 14:13:31 +3130000 ns","2.00313","01 28 03 18 00 CC","<= Event 1 Status reply","18 00","","","28","","","","","","","",""
"26","2.11698","0.0103117","0.106762","05/02/23 14:13:31 +116976000 ns","2.116976","01 19 05 03 08 31 0C 03 EE","<= Static status reply","","","","19","","","","","","","",""
"27","2.23915","0.00218667","0.111867","05/02/23 14:13:31 +239155000 ns","2.239155","01 06","ACK <=","","","","","","","","","","","",""
"28","2.24811","0.00718767","0.00677133","05/02/23 14:13:31 +248113000 ns","2.248113","01 2A 03 18 00 CE","<= Event 1 Status reply","18 00","","","2A","","","","","","","",""
"29","2.41893","0.00218767","0.163629","05/02/23 14:13:31 +418930000 ns","2.41893","01 06","ACK <=","","","","","","","","","","","",""
"30","2.42799","0.0104157","0.00687533","05/02/23 14:13:31 +427993000 ns","2.427993","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"31","2.556","0.00249967","0.117596","05/02/23 14:13:31 +556005000 ns","2.556005","01 06","ACK <=","","","","","","","","","","","",""
"32","2.63798","0.0106247","0.0794713","05/02/23 14:13:31 +637976000 ns","2.637976","01 1B 05 03 08 31 0C 03 EC","<= Static status reply","","","","1B","","","","","","","",""
"33","2.65235","0.00718767","0.00375033","05/02/23 14:13:31 +652351000 ns","2.652351","01 2C 03 18 00 C8","<= Event 1 Status reply","18 00","","","2C","","","","","","","",""
"34","2.8289","0.00218767","0.169358","05/02/23 14:13:31 +828897000 ns","2.828897","01 06","ACK <=","","","","","","","","","","","",""
"35","2.83952","0.0106247","0.00843733","05/02/23 14:13:31 +839522000 ns","2.839522","01 1D 05 03 08 31 0C 03 EA","<= Static status reply","","","","1D","","","","","","","",""
"36","3.02149","0.00218767","0.171345","05/02/23 14:13:32 +21492000 ns","3.021492","01 06","ACK <=","","","","","","","","","","","",""
"37","3.03201","0.0105147","0.00833233","05/02/23 14:13:32 +32012000 ns","3.032012","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","","","","1E","","","","","","","",""
