"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.00884","0.00562467","0.00884","05/02/23 14:14:11 +8840000 ns","0.00884","01 20 02 00 DD","=> Event 1 Status query","","","","20","","","","","","","",""
"2","0.11915","0.00218767","0.104685","05/02/23 14:14:11 +119150000 ns","0.11915","01 06","ACK =>","","","","","","","","","","","",""
"3","0.232898","0.00218767","0.11156","05/02/23 14:14:11 +232898000 ns","0.232898","01 06","ACK =>","","","","","","","","","","","",""
"4","0.258419","0.00218767","0.0233333","05/02/23 14:14:11 +258419000 ns","0.258419","01 06","ACK =>","","","","","","","","","","","",""
"5","0.283731","0.00562467","0.0231243","05/02/23 14:14:11 +283731000 ns","0.283731","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"6","0.416958","0.00562467","0.127602","05/02/23 14:14:11 +416958000 ns","0.416958","01 22 02 00 DF","=> Event 1 Status query","","","","22","","","","","","","",""
"7","0.528206","0.00218767","0.105623","05/02/23 14:14:11 +528206000 ns","0.528206","01 06","ACK =>","","","","","","","","","","","",""
"8","0.637058","0.00218767","0.106664","05/02/23 14:14:11 +637058000 ns","0.637058","01 06","ACK =>","","","","","","","","","","","",""
"9","0.662468","0.00218767","0.0232223","05/02/23 14:14:11 +662468000 ns","0.662468","01 06","ACK =>","","","","","","","","","","","",""
"10","0.687884","0.00562467","0.0232283","05/02/23 14:14:11 +687884000 ns","0.687884","01 13 02 00 EE","=> Static status query","","","","13","","","","","","","",""
"11","0.846111","0.00218667","0.152602","05/02/23 14:14:11 +846111000 ns","0.846111","01 06","ACK =>","","","","","","","","","","","",""
"12","0.871631","0.00562467","0.0233333","05/02/23 14:14:11 +871631000 ns","0.871631","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"13","1.00903","0.00562467","0.131769","05/02/23 14:14:12 +9025000 ns","1.009025","01 25 02 0A D2","=> Event 1 Status query","","","","25","","","","","","","",""
"14","1.11923","0.00218767","0.104581","05/02/23 14:14:12 +119231000 ns","1.119231","01 06","ACK =>","","","","","","","","","","","",""
