"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","139.132","0.00104167","139.132","04/25/23 08:57:17 +131934000 ns","139.1319","E0","","","","","","","","","","","","",""
"2","144.94","0.00218767","5.80664","04/25/23 08:57:22 +939615000 ns","144.9396","01 06","ACK <=","","","","","","","","","","","",""
"3","144.961","0.0107297","0.0192703","04/25/23 08:57:22 +961073000 ns","144.9611","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","154.892","0.00562467","9.92026","04/25/23 08:57:32 +892058000 ns","154.8921","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","154.94","0.00677067","0.0426033","04/25/23 08:57:32 +940286000 ns","154.9403","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","156.489","0.00229167","1.54175","04/25/23 08:57:34 +488808000 ns","156.4888","01 06","ACK <=","","","","","","","","","","","",""
"7","156.498","0.00708367","0.00729133","04/25/23 08:57:34 +498391000 ns","156.4984","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","159.701","0.00218667","3.19547","04/25/23 08:57:37 +700948000 ns","159.7009","01 06","ACK <=","","","","","","","","","","","",""
"9","159.705","0.00562567","0.00145833","04/25/23 08:57:37 +704593000 ns","159.7046","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","162.946","0.00218667","3.23589","04/25/23 08:57:40 +946108000 ns","162.9461","01 06","ACK <=","","","","","","","","","","","",""
"11","162.95","0.00562567","0.00145833","04/25/23 08:57:40 +949753000 ns","162.9498","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","166.161","0.00260467","3.20558","04/25/23 08:57:44 +160955000 ns","166.1609","01 06","ACK <=","","","","","","","","","","","",""
"13","166.171","0.00562467","0.00697933","04/25/23 08:57:44 +170539000 ns","166.1705","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","169.406","0.00218767","3.22985","04/25/23 08:57:47 +406011000 ns","169.406","01 06","ACK <=","","","","","","","","","","","",""
"15","169.409","0.00562467","0.00125033","04/25/23 08:57:47 +409449000 ns","169.4095","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","172.608","0.00218667","3.19308","04/25/23 08:57:50 +608158000 ns","172.6082","01 06","ACK <=","","","","","","","","","","","",""
