"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","73.1022","0.00104167","73.1022","05/02/23 13:51:38 +102152000 ns","73.10215","E0","","","","","","","","","","","","",""
"2","75.6274","0.00562467","2.5242","05/02/23 13:51:40 +627396000 ns","75.6274","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","75.9308","0.00562567","0.2978","05/02/23 13:51:40 +930821000 ns","75.93082","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","76.2342","0.00562467","0.297703","05/02/23 13:51:41 +234150000 ns","76.23415","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","78.7349","0.00562467","2.49515","05/02/23 13:51:43 +734921000 ns","78.73492","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"6","78.7473","0.00218767","0.00672533","05/02/23 13:51:43 +747271000 ns","78.74727","01 06","ACK <=","","","","","","","","","","","",""
"7","78.769","0.0106247","0.0195833","05/02/23 13:51:43 +769042000 ns","78.76904","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"8","78.9039","0.00218667","0.12421","05/02/23 13:51:43 +903877000 ns","78.90388","01 06","ACK =>","","","","","","","","","","","",""
"9","88.6174","0.00562467","9.71136","05/02/23 13:51:53 +617423000 ns","88.61742","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"10","88.6496","0.00218667","0.0265173","05/02/23 13:51:53 +649565000 ns","88.64957","01 06","ACK =>","","","","","","","","","","","",""
"11","88.6539","0.00677067","0.00212933","05/02/23 13:51:53 +653881000 ns","88.65388","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"12","88.7836","0.00218767","0.122973","05/02/23 13:51:53 +783625000 ns","88.78362","01 06","ACK =>","","","","","","","","","","","",""
"13","89.4663","0.00677067","0.680502","05/02/23 13:51:54 +466315000 ns","89.46632","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"14","89.4811","0.00218767","0.00802033","05/02/23 13:51:54 +481106000 ns","89.48111","01 06","ACK <=","","","","","","","","","","","",""
"15","89.4894","0.00677067","0.00614633","05/02/23 13:51:54 +489440000 ns","89.48944","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"16","89.6188","0.00218767","0.122601","05/02/23 13:51:54 +618812000 ns","89.61881","01 06","ACK =>","","","","","","","","","","","",""
"17","92.6004","0.00562467","2.9794","05/02/23 13:51:57 +600403000 ns","92.6004","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
