"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","181.182","0.00562567","181.182","05/17/23 08:56:03 +181565000 ns","181.1816","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","181.486","0.00562467","0.298328","05/17/23 08:56:03 +485519000 ns","181.4855","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","181.789","0.00562467","0.298009","05/17/23 08:56:03 +789153000 ns","181.7892","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","184.292","0.00562567","2.49744","05/17/23 08:56:06 +292222000 ns","184.2922","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","184.46","0.00218767","0.162288","05/17/23 08:56:06 +460136000 ns","184.4601","01 06","ACK =>","","","","","","","","","","","",""
"6","199.833","0.00218767","15.3711","05/17/23 08:56:21 +833437000 ns","199.8334","01 06","ACK =>","","","","","","","","","","","",""
"7","199.968","0.00218767","0.132289","05/17/23 08:56:21 +967914000 ns","199.9679","01 06","ACK =>","","","","","","","","","","","",""
"8","200.652","0.00677067","0.681544","05/17/23 08:56:22 +651646000 ns","200.6516","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"9","200.808","0.00218767","0.149476","05/17/23 08:56:22 +807893000 ns","200.8079","01 06","ACK =>","","","","","","","","","","","",""
"10","203.766","0.00562467","2.95587","05/17/23 08:56:25 +765949000 ns","203.7659","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"11","203.916","0.00218767","0.144372","05/17/23 08:56:25 +915946000 ns","203.9159","01 06","ACK =>","","","","","","","","","","","",""
"12","206.875","0.00562567","2.95671","05/17/23 08:56:28 +874841000 ns","206.8748","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"13","207.032","0.00218767","0.151559","05/17/23 08:56:29 +32026000 ns","207.032","01 06","ACK =>","","","","","","","","","","","",""
"14","209.996","0.00562467","2.96149","05/17/23 08:56:31 +995707000 ns","209.9957","01 B4 02 FF B6","=> EBLU Query","","","","B4","","","","","","","",""
"15","210.152","0.00218667","0.150414","05/17/23 08:56:32 +151746000 ns","210.1517","01 06","ACK =>","","","","","","","","","","","",""
"16","213.109","0.00562467","2.95524","05/17/23 08:56:35 +109176000 ns","213.1092","01 B5 02 FF B7","=> EBLU Query","","","","B5","","","","","","","",""
"17","213.268","0.00218767","0.153435","05/17/23 08:56:35 +268236000 ns","213.2682","01 06","ACK =>","","","","","","","","","","","",""
"18","215.544","0.00562567","2.27349","05/17/23 08:56:37 +543913000 ns","215.5439","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"19","215.602","0.00218767","0.0520823","05/17/23 08:56:37 +601621000 ns","215.6016","01 06","ACK =>","","","","","","","","","","","",""
"20","215.652","0.00562567","0.0486443","05/17/23 08:56:37 +652453000 ns","215.6525","01 27 02 0A D0","=> Event 1 Status query","","","","27","","","","","","","",""
"21","215.782","0.00562467","0.124372","05/17/23 08:56:37 +782451000 ns","215.7825","01 A8 02 82 D7","=> change mode","","","","A8","","","","","","","",""
"22","215.991","0.00218667","0.202497","05/17/23 08:56:37 +990573000 ns","215.9906","01 06","ACK =>","","","","","","","","","","","",""
"23","216.016","0.00218767","0.0233333","05/17/23 08:56:38 +16093000 ns","216.0161","01 06","ACK =>","","","","","","","","","","","",""
"24","216.042","0.00562467","0.0234373","05/17/23 08:56:38 +41718000 ns","216.0417","01 59 02 03 A7","=> Set credit score maximum","","","","59","","","","","","","",""
"25","216.18","0.00562467","0.132289","05/17/23 08:56:38 +179632000 ns","216.1796","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
"26","216.242","0.00218767","0.0571863","05/17/23 08:56:38 +242443000 ns","216.2424","01 06","ACK =>","","","","","","","","","","","",""
"27","217.228","0.00562467","0.983414","05/17/23 08:56:39 +228045000 ns","217.228","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"28","217.287","0.00218767","0.0537493","05/17/23 08:56:39 +287419000 ns","217.2874","01 06","ACK =>","","","","","","","","","","","",""
"29","217.338","0.00562467","0.0487493","05/17/23 08:56:39 +338356000 ns","217.3383","01 2C 02 0A DB","=> Event 1 Status query","","","","2C","","","","","","","",""
"30","217.47","0.00562467","0.126456","05/17/23 08:56:39 +470437000 ns","217.4704","01 AD 02 80 D0","=> change mode","","","","AD","","","","","","","",""
"31","217.678","0.00218667","0.202386","05/17/23 08:56:39 +678448000 ns","217.6785","01 06","ACK =>","","","","","","","","","","","",""
"32","217.693","0.00218767","0.0125003","05/17/23 08:56:39 +693135000 ns","217.6931","01 06","ACK =>","","","","","","","","","","","",""
"33","217.742","0.00562467","0.0470823","05/17/23 08:56:39 +742405000 ns","217.7424","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"34","217.884","0.00218667","0.135623","05/17/23 08:56:39 +883653000 ns","217.8837","01 06","ACK =>","","","","","","","","","","","",""
"35","217.903","0.00562467","0.0173963","05/17/23 08:56:39 +903236000 ns","217.9032","01 2F 02 00 D2","=> Event 1 Status query","","","","2F","","","","","","","",""
"36","217.948","0.00218767","0.0393743","05/17/23 08:56:39 +948235000 ns","217.9482","01 06","ACK =>","","","","","","","","","","","",""
"37","217.967","0.00562467","0.0168743","05/17/23 08:56:39 +967297000 ns","217.9673","01 20 02 00 DD","=> Event 1 Status query","","","","20","","","","","","","",""
"38","218.112","0.00218767","0.138747","05/17/23 08:56:40 +111669000 ns","218.1117","01 06","ACK =>","","","","","","","","","","","",""
"39","218.226","0.00562467","0.112602","05/17/23 08:56:40 +226459000 ns","218.2265","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"40","218.434","0.00218767","0.202184","05/17/23 08:56:40 +434268000 ns","218.4343","01 06","ACK =>","","","","","","","","","","","",""
"41","218.449","0.00218767","0.0127083","05/17/23 08:56:40 +449164000 ns","218.4492","01 06","ACK =>","","","","","","","","","","","",""
"42","218.464","0.00562467","0.0128123","05/17/23 08:56:40 +464164000 ns","218.4642","01 22 02 0A D5","=> Event 1 Status query","","","","22","","","","","","","",""
"43","218.608","0.00218667","0.13781","05/17/23 08:56:40 +607599000 ns","218.6076","01 06","ACK =>","","","","","","","","","","","",""
"44","218.626","0.00562467","0.0163543","05/17/23 08:56:40 +626140000 ns","218.6261","01 23 02 00 DE","=> Event 1 Status query","","","","23","","","","","","","",""
"45","218.671","0.00218667","0.0390623","05/17/23 08:56:40 +670827000 ns","218.6708","01 06","ACK =>","","","","","","","","","","","",""
"46","218.682","0.00562567","0.00895833","05/17/23 08:56:40 +681972000 ns","218.682","01 24 02 00 D9","=> Event 1 Status query","","","","24","","","","","","","",""
"47","218.824","0.00218767","0.136136","05/17/23 08:56:40 +823734000 ns","218.8237","01 06","ACK =>","","","","","","","","","","","",""
"48","218.835","0.00562467","0.00916633","05/17/23 08:56:40 +835088000 ns","218.8351","01 15 02 00 E8","=> Static status query","","","","15","","","","","","","",""
"49","218.976","0.00218767","0.134998","05/17/23 08:56:40 +975711000 ns","218.9757","01 06","ACK =>","","","","","","","","","","","",""
"50","218.987","0.00562467","0.00916633","05/17/23 08:56:40 +987065000 ns","218.9871","01 26 02 0A D1","=> Event 1 Status query","","","","26","","","","","","","",""
"51","219.128","0.00218667","0.135102","05/17/23 08:56:41 +127792000 ns","219.1278","01 06","ACK =>","","","","","","","","","","","",""
"52","219.14","0.00562467","0.0102083","05/17/23 08:56:41 +140187000 ns","219.1402","01 27 02 00 DA","=> Event 1 Status query","","","","27","","","","","","","",""
"53","219.183","0.00218667","0.0376043","05/17/23 08:56:41 +183416000 ns","219.1834","01 06","ACK =>","","","","","","","","","","","",""
"54","219.294","0.00562567","0.108748","05/17/23 08:56:41 +294351000 ns","219.2944","01 18 02 00 E5","=> Static status query","","","","18","","","","","","","",""
"55","219.498","0.00218767","0.198433","05/17/23 08:56:41 +498410000 ns","219.4984","01 06","ACK =>","","","","","","","","","","","",""
"56","219.51","0.00218767","0.00958333","05/17/23 08:56:41 +510181000 ns","219.5102","01 06","ACK =>","","","","","","","","","","","",""
"57","219.524","0.00562467","0.0117703","05/17/23 08:56:41 +524139000 ns","219.5241","01 29 02 0A DE","=> Event 1 Status query","","","","29","","","","","","","",""
