"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","129.306","0.00562467","129.306","05/18/23 09:58:59 +305674000 ns","129.3057","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","129.609","0.00562467","0.297912","05/18/23 09:58:59 +609211000 ns","129.6092","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","129.913","0.00562467","0.297911","05/18/23 09:58:59 +912747000 ns","129.9128","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","132.416","0.00562567","2.49786","05/18/23 09:59:02 +416233000 ns","132.4162","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","132.583","0.00218767","0.161559","05/18/23 09:59:02 +583418000 ns","132.5834","01 06","ACK =>","","","","","","","","","","","",""
"6","143.554","0.00218667","10.9688","05/18/23 09:59:13 +554424000 ns","143.5544","01 06","ACK =>","","","","","","","","","","","",""
"7","143.691","0.00218667","0.13479","05/18/23 09:59:13 +691401000 ns","143.6914","01 06","ACK =>","","","","","","","","","","","",""
"8","144.324","0.00677067","0.629983","05/18/23 09:59:14 +323571000 ns","144.3236","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"9","144.479","0.00218767","0.148955","05/18/23 09:59:14 +479297000 ns","144.4793","01 06","ACK =>","","","","","","","","","","","",""
"10","147.464","0.00562467","2.98285","05/18/23 09:59:17 +464338000 ns","147.4643","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"11","147.62","0.00218667","0.149581","05/18/23 09:59:17 +619544000 ns","147.6195","01 06","ACK =>","","","","","","","","","","","",""
"12","150.578","0.00562467","2.95671","05/18/23 09:59:20 +578439000 ns","150.5784","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"13","150.731","0.00218767","0.147178","05/18/23 09:59:20 +731242000 ns","150.7312","01 06","ACK =>","","","","","","","","","","","",""
