"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","118.156","0.00104167","118.156","05/18/23 10:09:31 +156480000 ns","118.1565","E0","","","","","","","","","","","","",""
"2","123.803","0.00218667","5.64591","05/18/23 10:09:36 +803436000 ns","123.8034","01 06","ACK <=","","","","","","","","","","","",""
"3","123.825","0.0103127","0.0191663","05/18/23 10:09:36 +824789000 ns","123.8248","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","134.784","0.00562467","10.9487","05/18/23 10:09:47 +783836000 ns","134.7838","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","134.821","0.00708367","0.0313533","05/18/23 10:09:47 +820814000 ns","134.8208","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","135.598","0.00218767","0.770253","05/18/23 10:09:48 +598151000 ns","135.5981","01 06","ACK <=","","","","","","","","","","","",""
"7","135.607","0.00677067","0.00666633","05/18/23 10:09:48 +607005000 ns","135.607","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","138.711","0.00260367","3.09674","05/18/23 10:09:51 +710514000 ns","138.7105","01 06","ACK <=","","","","","","","","","","","",""
"9","138.72","0.00562567","0.00708333","05/18/23 10:09:51 +720201000 ns","138.7202","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","141.819","0.00218767","3.09299","05/18/23 10:09:54 +818814000 ns","141.8188","01 06","ACK <=","","","","","","","","","","","",""
"11","141.827","0.00562467","0.00583333","05/18/23 10:09:54 +826835000 ns","141.8268","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","144.952","0.00218767","3.11955","05/18/23 10:09:57 +952010000 ns","144.952","01 06","ACK <=","","","","","","","","","","","",""
"13","144.96","0.00593667","0.00583333","05/18/23 10:09:57 +960031000 ns","144.96","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","148.066","0.00218767","3.10049","05/18/23 10:10:01 +66456000 ns","148.0665","01 06","ACK <=","","","","","","","","","","","",""
"15","148.074","0.00562467","0.00583333","05/18/23 10:10:01 +74477000 ns","148.0745","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","149.834","0.00218767","1.75403","05/18/23 10:10:02 +834134000 ns","149.8341","01 06","ACK <=","","","","","","","","","","","",""
"17","149.843","0.00927067","0.00697933","05/18/23 10:10:02 +843301000 ns","149.8433","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"18","149.943","0.00218667","0.0900963","05/18/23 10:10:02 +942668000 ns","149.9427","01 06","ACK <=","","","","","","","","","","","",""
"19","149.952","0.00718667","0.00666733","05/18/23 10:10:02 +951522000 ns","149.9515","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"20","150.07","0.00218667","0.111242","05/18/23 10:10:03 +69951000 ns","150.0699","01 06","ACK <=","","","","","","","","","","","",""
"21","150.161","0.00677067","0.0888463","05/18/23 10:10:03 +160984000 ns","150.161","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"22","150.275","0.00708267","0.107596","05/18/23 10:10:03 +275351000 ns","150.2753","01 2A 03 86 00 50","<= Event 1 Status reply","86 00","","","2A","","","","","","","",""
"23","150.292","0.00697967","0.00916633","05/18/23 10:10:03 +291600000 ns","150.2916","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"24","150.314","0.00218767","0.0149993","05/18/23 10:10:03 +313579000 ns","150.3136","01 06","ACK <=","","","","","","","","","","","",""
"25","150.451","0.00718667","0.135714","05/18/23 10:10:03 +451481000 ns","150.4515","01 2C 03 82 00 52","<= Event 1 Status reply","82 00","","","2C","","","","","","","",""
"26","150.475","0.00218767","0.0166663","05/18/23 10:10:03 +475334000 ns","150.4753","01 06","ACK <=","","","","","","","","","","","",""
"27","150.612","0.00708267","0.134783","05/18/23 10:10:03 +612305000 ns","150.6123","01 2D 03 86 00 57","<= Event 1 Status reply","86 00","","","2D","","","","","","","",""
"28","150.635","0.00218767","0.0158333","05/18/23 10:10:03 +635221000 ns","150.6352","01 06","ACK <=","","","","","","","","","","","",""
"29","150.773","0.00947867","0.136026","05/18/23 10:10:03 +773435000 ns","150.7734","01 1E 05 03 10 00 03 F4","<= Static status reply","","","","1E","","","","","","","",""
"30","150.796","0.00218667","0.0131253","05/18/23 10:10:03 +796039000 ns","150.796","01 06","ACK <=","","","","","","","","","","","",""
"31","150.837","0.00677067","0.0387493","05/18/23 10:10:03 +836975000 ns","150.837","01 2F 03 06 00 D5","<= Event 1 Status reply","06 00","","","2F","","","","","","","",""
"32","150.982","0.00677067","0.137797","05/18/23 10:10:03 +981543000 ns","150.9815","01 20 03 06 00 DA","<= Event 1 Status reply","06 00","","","20","","","","","","","",""
"33","151.005","0.00218767","0.0163543","05/18/23 10:10:04 +4668000 ns","151.0047","01 06","ACK <=","","","","","","","","","","","",""
"34","151.141","0.00937467","0.134574","05/18/23 10:10:04 +141430000 ns","151.1414","01 11 05 03 00 00 03 EB","<= Static status reply","","","","11","","","","","","","",""
"35","151.164","0.00218767","0.0130203","05/18/23 10:10:04 +163825000 ns","151.1638","01 06","ACK <=","","","","","","","","","","","",""
"36","151.197","0.00677067","0.0307223","05/18/23 10:10:04 +196735000 ns","151.1967","01 22 03 06 00 D8","<= Event 1 Status reply","06 00","","","22","","","","","","","",""
"37","151.216","0.00218767","0.0123953","05/18/23 10:10:04 +215901000 ns","151.2159","01 06","ACK <=","","","","","","","","","","","",""
"38","151.351","0.00947967","0.132699","05/18/23 10:10:04 +350788000 ns","151.3508","01 13 05 03 00 00 03 E9","<= Static status reply","","","","13","","","","","","","",""
"39","151.373","0.00218767","0.0124993","05/18/23 10:10:04 +372767000 ns","151.3728","01 06","ACK <=","","","","","","","","","","","",""
"40","151.406","0.00697267","0.0310413","05/18/23 10:10:04 +405996000 ns","151.406","01 24 03 06 00 DE","<= Event 1 Status reply","06 00","","","24","","","","","","","",""
"41","152.436","0.00218667","1.02326","05/18/23 10:10:05 +436226000 ns","152.4362","01 06","ACK <=","","","","","","","","","","","",""
"42","152.445","0.00906267","0.00697933","05/18/23 10:10:05 +445392000 ns","152.4454","01 15 05 03 00 00 03 EF","<= Static status reply","","","","15","","","","","","","",""
"43","152.52","0.00218767","0.0650963","05/18/23 10:10:05 +519551000 ns","152.5195","01 06","ACK <=","","","","","","","","","","","",""
"44","152.528","0.00687467","0.00635433","05/18/23 10:10:05 +528093000 ns","152.5281","01 26 03 06 00 DC","<= Event 1 Status reply","06 00","","","26","","","","","","","",""
"45","152.697","0.00218767","0.161553","05/18/23 10:10:05 +696521000 ns","152.6965","01 06","ACK <=","","","","","","","","","","","",""
"46","152.706","0.00916667","0.00697233","05/18/23 10:10:05 +705681000 ns","152.7057","01 17 05 03 00 00 03 ED","<= Static status reply","","","","17","","","","","","","",""
"47","152.884","0.00218767","0.16874","05/18/23 10:10:05 +883588000 ns","152.8836","01 06","ACK <=","","","","","","","","","","","",""
"48","152.893","0.00937467","0.00739533","05/18/23 10:10:05 +893171000 ns","152.8932","01 18 05 03 00 00 03 E2","<= Static status reply","","","","18","","","","","","","",""
"49","152.996","0.00229167","0.0930133","05/18/23 10:10:05 +995559000 ns","152.9956","01 06","ACK <=","","","","","","","","","","","",""
"50","153.005","0.00697867","0.00739533","05/18/23 10:10:06 +5246000 ns","153.0052","01 29 03 06 00 D3","<= Event 1 Status reply","06 00","","","29","","","","","","","",""
"51","153.125","0.00218767","0.112596","05/18/23 10:10:06 +124821000 ns","153.1248","01 06","ACK <=","","","","","","","","","","","",""
"52","153.213","0.00687567","0.0856163","05/18/23 10:10:06 +212625000 ns","153.2126","01 29 03 06 00 D3","<= Event 1 Status reply","06 00","","","29","","","","","","","",""
"53","153.328","0.00937467","0.108428","05/18/23 10:10:06 +327929000 ns","153.3279","01 1A 05 03 00 00 03 E0","<= Static status reply","","","","1A","","","","","","","",""
"54","153.449","0.00218767","0.111346","05/18/23 10:10:06 +448650000 ns","153.4487","01 06","ACK <=","","","","","","","","","","","",""
"55","153.457","0.00686767","0.00645833","05/18/23 10:10:06 +457296000 ns","153.4573","01 2B 03 06 00 D1","<= Event 1 Status reply","06 00","","","2B","","","","","","","",""
"56","153.628","0.00218667","0.164262","05/18/23 10:10:06 +628426000 ns","153.6284","01 06","ACK <=","","","","","","","","","","","",""
"57","153.637","0.00916667","0.00677133","05/18/23 10:10:06 +637384000 ns","153.6374","01 1C 05 03 00 00 03 E6","<= Static status reply","","","","1C","","","","","","","",""
"58","153.787","0.00218767","0.140817","05/18/23 10:10:06 +787368000 ns","153.7874","01 06","ACK <=","","","","","","","","","","","",""
"59","153.797","0.00927067","0.00718733","05/18/23 10:10:06 +796743000 ns","153.7967","01 1D 05 03 00 00 03 E7","<= Static status reply","","","","1D","","","","","","","",""
"60","153.896","0.00218767","0.0896793","05/18/23 10:10:06 +895693000 ns","153.8957","01 06","ACK <=","","","","","","","","","","","",""
