"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","117.851","0.00104167","117.851","05/18/23 11:23:24 +850918000 ns","117.8509","E0","","","","","","","","","","","","",""
"2","123.504","0.00218667","5.65198","05/18/23 11:23:30 +503935000 ns","123.5039","01 06","ACK <=","","","","","","","","","","","",""
"3","123.526","0.0103117","0.0195773","05/18/23 11:23:30 +525699000 ns","123.5257","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","138.612","0.00562467","15.0762","05/18/23 11:23:45 +612260000 ns","138.6123","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","138.746","0.00687467","0.127908","05/18/23 11:23:45 +745793000 ns","138.7458","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","139.503","0.00218767","0.750774","05/18/23 11:23:46 +503442000 ns","139.5034","01 06","ACK <=","","","","","","","","","","","",""
"7","139.512","0.00697867","0.00625033","05/18/23 11:23:46 +511880000 ns","139.5119","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","142.619","0.00218767","3.09987","05/18/23 11:23:49 +618728000 ns","142.6187","01 06","ACK <=","","","","","","","","","","","",""
"9","142.629","0.00562567","0.00770133","05/18/23 11:23:49 +628617000 ns","142.6286","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","145.755","0.00218767","3.12039","05/18/23 11:23:52 +754632000 ns","145.7546","01 06","ACK <=","","","","","","","","","","","",""
"11","145.763","0.00562467","0.00604133","05/18/23 11:23:52 +762861000 ns","145.7629","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","148.869","0.00218767","3.10101","05/18/23 11:23:55 +869495000 ns","148.8695","01 06","ACK <=","","","","","","","","","","","",""
"13","148.879","0.00562567","0.00697833","05/18/23 11:23:55 +878661000 ns","148.8787","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","151.986","0.00218767","3.10206","05/18/23 11:23:58 +986343000 ns","151.9863","01 06","ACK <=","","","","","","","","","","","",""
"15","151.997","0.00562567","0.00802033","05/18/23 11:23:58 +996551000 ns","151.9966","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","153.859","0.00218767","1.85652","05/18/23 11:24:00 +858701000 ns","153.8587","01 06","ACK <=","","","","","","","","","","","",""
"17","153.868","0.00937467","0.00666633","05/18/23 11:24:00 +867555000 ns","153.8676","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"18","153.967","0.00218767","0.0898873","05/18/23 11:24:00 +966817000 ns","153.9668","01 06","ACK <=","","","","","","","","","","","",""
"19","153.975","0.00677067","0.00625033","05/18/23 11:24:00 +975255000 ns","153.9753","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"20","154.143","0.00218767","0.161442","05/18/23 11:24:01 +143468000 ns","154.1435","01 06","ACK <=","","","","","","","","","","","",""
"21","154.17","0.00687467","0.0241663","05/18/23 11:24:01 +169822000 ns","154.1698","01 2A 03 86 00 50","<= Event 1 Status reply","86 00","","","2A","","","","","","","",""
"22","154.313","0.00687467","0.136137","05/18/23 11:24:01 +312834000 ns","154.3128","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"23","154.433","0.00218767","0.113116","05/18/23 11:24:01 +432825000 ns","154.4328","01 06","ACK <=","","","","","","","","","","","",""
"24","154.52","0.00677067","0.0852003","05/18/23 11:24:01 +520213000 ns","154.5202","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"25","154.654","0.00708367","0.12697","05/18/23 11:24:01 +653954000 ns","154.654","01 2C 03 86 00 56","<= Event 1 Status reply","86 00","","","2C","","","","","","","",""
"26","154.774","0.00218667","0.112804","05/18/23 11:24:01 +773842000 ns","154.7738","01 06","ACK <=","","","","","","","","","","","",""
"27","154.861","0.00708367","0.0850963","05/18/23 11:24:01 +861125000 ns","154.8611","01 2C 03 86 00 56","<= Event 1 Status reply","86 00","","","2C","","","","","","","",""
"28","155.004","0.00937567","0.135817","05/18/23 11:24:02 +4026000 ns","155.004","01 1D 05 03 00 00 03 E7","<= Static status reply","","","","1D","","","","","","","",""
"29","155.125","0.00229167","0.111449","05/18/23 11:24:02 +124851000 ns","155.1248","01 06","ACK <=","","","","","","","","","","","",""
"30","155.215","0.00947967","0.0873943","05/18/23 11:24:02 +214537000 ns","155.2145","01 1D 05 03 00 00 03 E7","<= Static status reply","","","","1D","","","","","","","",""
"31","155.259","0.00677067","0.0354093","05/18/23 11:24:02 +259426000 ns","155.2594","01 2E 03 06 00 D4","<= Event 1 Status reply","06 00","","","2E","","","","","","","",""
"32","155.378","0.00218767","0.111762","05/18/23 11:24:02 +377959000 ns","155.378","01 06","ACK <=","","","","","","","","","","","",""
"33","155.468","0.00708267","0.0875963","05/18/23 11:24:02 +467743000 ns","155.4677","01 2E 03 06 00 D4","<= Event 1 Status reply","06 00","","","2E","","","","","","","",""
"34","155.602","0.00677067","0.127074","05/18/23 11:24:02 +601900000 ns","155.6019","01 2F 03 06 00 D5","<= Event 1 Status reply","06 00","","","2F","","","","","","","",""
"35","155.722","0.00218667","0.113013","05/18/23 11:24:02 +721684000 ns","155.7217","01 06","ACK <=","","","","","","","","","","","",""
"36","155.809","0.00718767","0.0855133","05/18/23 11:24:02 +809384000 ns","155.8094","01 2F 03 06 00 D5","<= Event 1 Status reply","06 00","","","2F","","","","","","","",""
