"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","120.38","0.00562467","120.38","05/18/23 11:23:27 +379528000 ns","120.3795","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","120.683","0.00562467","0.298224","05/18/23 11:23:27 +683377000 ns","120.6834","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","120.988","0.00562467","0.298641","05/18/23 11:23:27 +987643000 ns","120.9876","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","123.492","0.00562467","2.49828","05/18/23 11:23:30 +491546000 ns","123.4915","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","123.662","0.00218767","0.164684","05/18/23 11:23:30 +661855000 ns","123.6619","01 06","ACK =>","","","","","","","","","","","",""
"6","138.742","0.00218767","15.0779","05/18/23 11:23:45 +741938000 ns","138.7419","01 06","ACK =>","","","","","","","","","","","",""
"7","138.878","0.00218667","0.133748","05/18/23 11:23:45 +877874000 ns","138.8779","01 06","ACK =>","","","","","","","","","","","",""
"8","139.485","0.00677067","0.604463","05/18/23 11:23:46 +484524000 ns","139.4845","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"9","139.642","0.00218767","0.150726","05/18/23 11:23:46 +642021000 ns","139.642","01 06","ACK =>","","","","","","","","","","","",""
"10","142.602","0.00562467","2.95765","05/18/23 11:23:49 +601854000 ns","142.6019","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"11","142.758","0.00218767","0.150309","05/18/23 11:23:49 +757788000 ns","142.7578","01 06","ACK =>","","","","","","","","","","","",""
"12","145.742","0.00562467","2.98233","05/18/23 11:23:52 +742308000 ns","145.7423","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"13","145.894","0.00218767","0.146137","05/18/23 11:23:52 +894070000 ns","145.8941","01 06","ACK =>","","","","","","","","","","","",""
"14","148.853","0.00562467","2.95712","05/18/23 11:23:55 +853382000 ns","148.8534","01 B4 02 FF B6","=> EBLU Query","","","","B4","","","","","","","",""
"15","149.01","0.00218667","0.150831","05/18/23 11:23:56 +9838000 ns","149.0098","01 06","ACK =>","","","","","","","","","","","",""
"16","151.969","0.00562467","2.95723","05/18/23 11:23:58 +969254000 ns","151.9693","01 B5 02 FF B7","=> EBLU Query","","","","B5","","","","","","","",""
"17","152.126","0.00218767","0.151247","05/18/23 11:23:59 +126126000 ns","152.1261","01 06","ACK =>","","","","","","","","","","","",""
"18","153.846","0.00562467","1.71735","05/18/23 11:24:00 +845667000 ns","153.8457","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"19","153.903","0.00218767","0.0520823","05/18/23 11:24:00 +903374000 ns","153.9034","01 06","ACK =>","","","","","","","","","","","",""
