"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","117.422","0.00104167","117.422","05/18/23 14:08:22 +422492000 ns","117.4225","E0","","","","","","","","","","","","",""
"2","123.075","0.00239667","5.65156","05/18/23 14:08:28 +75091000 ns","123.0751","01 06","ACK <=","","","","","","","","","","","",""
"3","123.097","0.0106247","0.0193743","05/18/23 14:08:28 +96862000 ns","123.0969","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","138.265","0.00562467","15.1572","05/18/23 14:08:43 +264672000 ns","138.2647","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","138.301","0.00687467","0.0306243","05/18/23 14:08:43 +300921000 ns","138.3009","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","139.157","0.00218667","0.848788","05/18/23 14:08:44 +156584000 ns","139.1566","01 06","ACK <=","","","","","","","","","","","",""
"7","139.165","0.00677067","0.00604233","05/18/23 14:08:44 +164813000 ns","139.1648","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","142.271","0.00260467","3.09976","05/18/23 14:08:47 +271348000 ns","142.2713","01 06","ACK <=","","","","","","","","","","","",""
"9","142.281","0.00562467","0.00697933","05/18/23 14:08:47 +280932000 ns","142.2809","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","145.388","0.00218767","3.10112","05/18/23 14:08:50 +387676000 ns","145.3877","01 06","ACK <=","","","","","","","","","","","",""
"11","145.398","0.00572867","0.00770133","05/18/23 14:08:50 +397565000 ns","145.3976","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","148.505","0.00218767","3.10133","05/18/23 14:08:53 +504622000 ns","148.5046","01 06","ACK <=","","","","","","","","","","","",""
"13","148.508","0.00562467","0.00166633","05/18/23 14:08:53 +508476000 ns","148.5085","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","151.608","0.00218767","3.09362","05/18/23 14:08:56 +607720000 ns","151.6077","01 06","ACK <=","","","","","","","","","","","",""
"15","151.617","0.00604167","0.00687533","05/18/23 14:08:56 +616783000 ns","151.6168","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","153.684","0.00239567","2.06109","05/18/23 14:08:58 +683916000 ns","153.6839","01 06","ACK <=","","","","","","","","","","","",""
"17","153.693","0.00906167","0.00645833","05/18/23 14:08:58 +692770000 ns","153.6928","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"18","153.767","0.00218767","0.0649993","05/18/23 14:08:58 +766831000 ns","153.7668","01 06","ACK <=","","","","","","","","","","","",""
"19","153.775","0.00686867","0.00635333","05/18/23 14:08:58 +775372000 ns","153.7754","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"20","153.893","0.00218767","0.111137","05/18/23 14:08:58 +893378000 ns","153.8934","01 06","ACK <=","","","","","","","","","","","",""
"21","153.983","0.00708367","0.0873943","05/18/23 14:08:58 +982960000 ns","153.983","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"22","154.094","0.00718767","0.103637","05/18/23 14:08:59 +93681000 ns","154.0937","01 2A 03 86 00 50","<= Event 1 Status reply","86 00","","","2A","","","","","","","",""
"23","154.11","0.00697967","0.00915933","05/18/23 14:08:59 +110028000 ns","154.11","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"24","154.132","0.00218767","0.0149993","05/18/23 14:08:59 +132007000 ns","154.132","01 06","ACK <=","","","","","","","","","","","",""
"25","154.271","0.00729167","0.136345","05/18/23 14:08:59 +270540000 ns","154.2705","01 2C 03 84 00 54","<= Event 1 Status reply","84 00","","","2C","","","","","","","",""
"26","154.294","0.00218767","0.0157283","05/18/23 14:08:59 +293560000 ns","154.2936","01 06","ACK <=","","","","","","","","","","","",""
"27","154.431","0.00687467","0.135304","05/18/23 14:08:59 +431052000 ns","154.431","01 2D 03 86 00 57","<= Event 1 Status reply","86 00","","","2D","","","","","","","",""
"28","154.454","0.00218767","0.0161383","05/18/23 14:08:59 +454065000 ns","154.4541","01 06","ACK <=","","","","","","","","","","","",""
"29","154.592","0.00916667","0.13572","05/18/23 14:08:59 +591973000 ns","154.592","01 1E 05 03 10 00 03 F4","<= Static status reply","","","","1E","","","","","","","",""
"30","154.615","0.00218767","0.0136453","05/18/23 14:08:59 +614785000 ns","154.6148","01 06","ACK <=","","","","","","","","","","","",""
"31","154.656","0.00676467","0.0388533","05/18/23 14:08:59 +655826000 ns","154.6558","01 2F 03 06 00 D5","<= Event 1 Status reply","06 00","","","2F","","","","","","","",""
