"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","119.952","0.00562467","119.952","05/18/23 14:08:24 +951974000 ns","119.952","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","120.256","0.00562467","0.298328","05/18/23 14:08:25 +255927000 ns","120.2559","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","120.56","0.00562467","0.298328","05/18/23 14:08:25 +559880000 ns","120.5599","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","123.063","0.00562467","2.49713","05/18/23 14:08:28 +62637000 ns","123.0626","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","123.232","0.00218767","0.163539","05/18/23 14:08:28 +231801000 ns","123.2318","01 06","ACK =>","","","","","","","","","","","",""
"6","138.297","0.00218667","15.0626","05/18/23 14:08:43 +296579000 ns","138.2966","01 06","ACK =>","","","","","","","","","","","",""
"7","138.434","0.00218767","0.134789","05/18/23 14:08:43 +433555000 ns","138.4335","01 06","ACK =>","","","","","","","","","","","",""
"8","139.142","0.00677067","0.706023","05/18/23 14:08:44 +141766000 ns","139.1418","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"9","139.297","0.00218667","0.148956","05/18/23 14:08:44 +297493000 ns","139.2975","01 06","ACK =>","","","","","","","","","","","",""
"10","142.256","0.00562567","2.9564","05/18/23 14:08:47 +256075000 ns","142.2561","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"11","142.412","0.00218767","0.150517","05/18/23 14:08:47 +412218000 ns","142.4122","01 06","ACK =>","","","","","","","","","","","",""
"12","145.37","0.00562467","2.95567","05/18/23 14:08:50 +370072000 ns","145.3701","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"13","145.527","0.00218767","0.151345","05/18/23 14:08:50 +527042000 ns","145.527","01 06","ACK =>","","","","","","","","","","","",""
"14","148.486","0.00562467","2.95629","05/18/23 14:08:53 +485521000 ns","148.4855","01 B4 02 FF B6","=> EBLU Query","","","","B4","","","","","","","",""
"15","148.638","0.00218767","0.146872","05/18/23 14:08:53 +638018000 ns","148.638","01 06","ACK =>","","","","","","","","","","","",""
"16","151.596","0.00562567","2.95546","05/18/23 14:08:56 +595663000 ns","151.5957","01 B5 02 FF B7","=> EBLU Query","","","","B5","","","","","","","",""
"17","151.748","0.00218767","0.146976","05/18/23 14:08:56 +748265000 ns","151.7483","01 06","ACK =>","","","","","","","","","","","",""
"18","153.671","0.00561867","1.92038","05/18/23 14:08:58 +670830000 ns","153.6708","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"19","153.729","0.00218767","0.0522903","05/18/23 14:08:58 +728739000 ns","153.7287","01 06","ACK =>","","","","","","","","","","","",""
"20","153.754","0.00562467","0.0233333","05/18/23 14:08:58 +754260000 ns","153.7543","01 27 02 0A D0","=> Event 1 Status query","","","","27","","","","","","","",""
"21","153.882","0.00562567","0.121872","05/18/23 14:08:58 +881757000 ns","153.8818","01 A8 02 80 D5","=> change mode","","","","A8","","","","","","","",""
"22","154.09","0.00218667","0.202288","05/18/23 14:08:59 +89671000 ns","154.0897","01 06","ACK =>","","","","","","","","","","","",""
"23","154.102","0.00218767","0.00968733","05/18/23 14:08:59 +101545000 ns","154.1015","01 06","ACK =>","","","","","","","","","","","",""
"24","154.117","0.00562467","0.0128123","05/18/23 14:08:59 +116545000 ns","154.1165","01 59 02 03 A7","=> Set credit score maximum","","","","59","","","","","","","",""
"25","154.259","0.00218767","0.13656","05/18/23 14:08:59 +258730000 ns","154.2587","01 06","ACK =>","","","","","","","","","","","",""
"26","154.278","0.00562467","0.0166663","05/18/23 14:08:59 +277584000 ns","154.2776","01 1A 02 32 D5","=> Static status query","","","","1A","","","","","","","",""
"27","154.423","0.00218767","0.139581","05/18/23 14:08:59 +422790000 ns","154.4228","01 06","ACK =>","","","","","","","","","","","",""
"28","154.438","0.00562467","0.0134373","05/18/23 14:08:59 +438415000 ns","154.4384","01 2B 02 00 D6","=> Event 1 Status query","","","","2B","","","","","","","",""
