"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","116.505","0.00104167","116.505","05/18/23 14:18:41 +504927000 ns","116.5049","E0","","","","","","","","","","","","",""
"2","122.156","0.00218767","5.65051","05/18/23 14:18:47 +156478000 ns","122.1565","01 06","ACK <=","","","","","","","","","","","",""
"3","122.178","0.0104167","0.0191663","05/18/23 14:18:47 +177832000 ns","122.1778","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","137.314","0.00562467","15.1256","05/18/23 14:19:02 +313865000 ns","137.3139","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","137.447","0.00687567","0.127074","05/18/23 14:19:02 +446564000 ns","137.4466","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","138.253","0.00218767","0.799725","05/18/23 14:19:03 +253165000 ns","138.2532","01 06","ACK <=","","","","","","","","","","","",""
"7","138.261","0.00677067","0.00614633","05/18/23 14:19:03 +261499000 ns","138.2615","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","141.391","0.00218767","3.12279","05/18/23 14:19:06 +391055000 ns","141.3911","01 06","ACK <=","","","","","","","","","","","",""
"9","141.399","0.00562467","0.00583333","05/18/23 14:19:06 +399076000 ns","141.3991","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","144.502","0.00260367","3.09705","05/18/23 14:19:09 +501751000 ns","144.5018","01 06","ACK <=","","","","","","","","","","","",""
"11","144.511","0.00562467","0.00697933","05/18/23 14:19:09 +511334000 ns","144.5113","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","147.618","0.00218767","3.10102","05/18/23 14:19:12 +617974000 ns","147.618","01 06","ACK <=","","","","","","","","","","","",""
"13","147.622","0.00562467","0.00156233","05/18/23 14:19:12 +621724000 ns","147.6217","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","150.736","0.00218767","3.1082","05/18/23 14:19:15 +735545000 ns","150.7355","01 06","ACK <=","","","","","","","","","","","",""
"15","150.739","0.00562567","0.00114533","05/18/23 14:19:15 +738878000 ns","150.7389","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","152.76","0.00218767","2.01558","05/18/23 14:19:17 +760081000 ns","152.7601","01 06","ACK <=","","","","","","","","","","","",""
"17","152.764","0.00906167","0.00187533","05/18/23 14:19:17 +764144000 ns","152.7641","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"18","152.938","0.00229167","0.164776","05/18/23 14:19:17 +937982000 ns","152.938","01 06","ACK <=","","","","","","","","","","","",""
"19","152.948","0.00697967","0.00739533","05/18/23 14:19:17 +947669000 ns","152.9477","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"20","153.115","0.00218667","0.160407","05/18/23 14:19:18 +115056000 ns","153.1151","01 06","ACK <=","","","","","","","","","","","",""
"21","153.144","0.00677067","0.0264523","05/18/23 14:19:18 +143695000 ns","153.1437","01 2A 03 86 00 50","<= Event 1 Status reply","86 00","","","2A","","","","","","","",""
"22","153.278","0.00718767","0.127699","05/18/23 14:19:18 +278165000 ns","153.2782","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
"23","153.404","0.00239567","0.118741","05/18/23 14:19:18 +404094000 ns","153.4041","01 06","ACK <=","","","","","","","","","","","",""
"24","153.494","0.00677067","0.0879083","05/18/23 14:19:18 +494398000 ns","153.4944","01 2B 03 80 00 57","<= Event 1 Status reply","80 00","","","2B","","","","","","","",""
