"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","119.032","0.00562467","119.032","05/18/23 14:18:44 +32358000 ns","119.0324","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","119.336","0.00562467","0.298426","05/18/23 14:18:44 +336409000 ns","119.3364","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","119.64","0.00562567","0.298015","05/18/23 14:18:44 +640049000 ns","119.6401","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","122.144","0.00562467","2.49807","05/18/23 14:18:47 +143744000 ns","122.1437","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","122.314","0.00218767","0.164893","05/18/23 14:18:47 +314262000 ns","122.3143","01 06","ACK =>","","","","","","","","","","","",""
"6","137.442","0.00218667","15.1258","05/18/23 14:19:02 +442268000 ns","137.4423","01 06","ACK =>","","","","","","","","","","","",""
"7","137.578","0.00218767","0.133748","05/18/23 14:19:02 +578203000 ns","137.5782","01 06","ACK =>","","","","","","","","","","","",""
"8","138.236","0.00677067","0.655919","05/18/23 14:19:03 +236310000 ns","138.2363","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"9","138.394","0.00218767","0.150935","05/18/23 14:19:03 +394016000 ns","138.394","01 06","ACK =>","","","","","","","","","","","",""
"10","141.379","0.00562467","2.98244","05/18/23 14:19:06 +378640000 ns","141.3786","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"11","141.53","0.00218767","0.145935","05/18/23 14:19:06 +530200000 ns","141.5302","01 06","ACK =>","","","","","","","","","","","",""
"12","144.49","0.00562467","2.95743","05/18/23 14:19:09 +489818000 ns","144.4898","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"13","144.642","0.00218667","0.146664","05/18/23 14:19:09 +642107000 ns","144.6421","01 06","ACK =>","","","","","","","","","","","",""
"14","147.6","0.00562467","2.95525","05/18/23 14:19:12 +599544000 ns","147.5995","01 B4 02 FF B6","=> EBLU Query","","","","B4","","","","","","","",""
"15","147.754","0.00218767","0.148955","05/18/23 14:19:12 +754124000 ns","147.7541","01 06","ACK =>","","","","","","","","","","","",""
"16","150.718","0.00562467","2.9614","05/18/23 14:19:15 +717707000 ns","150.7177","01 B5 02 FF B7","=> EBLU Query","","","","B5","","","","","","","",""
"17","150.87","0.00218667","0.146658","05/18/23 14:19:15 +869990000 ns","150.87","01 06","ACK =>","","","","","","","","","","","",""
"18","152.741","0.00562567","1.8684","05/18/23 14:19:17 +740576000 ns","152.7406","01 16 02 00 EB","=> Static status query","","","","16","","","","","","","",""
"19","152.898","0.00218767","0.15208","05/18/23 14:19:17 +898282000 ns","152.8983","01 06","ACK =>","","","","","","","","","","","",""
"20","152.924","0.00562567","0.0232283","05/18/23 14:19:17 +923698000 ns","152.9237","01 27 02 0A D0","=> Event 1 Status query","","","","27","","","","","","","",""
"21","153.078","0.00218767","0.148538","05/18/23 14:19:18 +77862000 ns","153.0779","01 06","ACK =>","","","","","","","","","","","",""
"22","153.103","0.00562467","0.0234373","05/18/23 14:19:18 +103487000 ns","153.1035","01 A8 02 80 D5","=> change mode","","","","A8","","","","","","","",""
"23","153.274","0.00218667","0.164685","05/18/23 14:19:18 +273797000 ns","153.2738","01 06","ACK =>","","","","","","","","","","","",""
"24","153.385","0.00562467","0.108644","05/18/23 14:19:18 +384628000 ns","153.3846","01 59 02 03 A7","=> Set credit score maximum","","","","59","","","","","","","",""
"25","153.626","0.00218667","0.235719","05/18/23 14:19:18 +625972000 ns","153.626","01 06","ACK =>","","","","","","","","","","","",""
"26","153.737","0.00562567","0.108956","05/18/23 14:19:18 +737115000 ns","153.7371","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
"27","153.966","0.00218667","0.223121","05/18/23 14:19:18 +965862000 ns","153.9659","01 06","ACK =>","","","","","","","","","","","",""
"28","154.085","0.00562467","0.116665","05/18/23 14:19:19 +84714000 ns","154.0847","01 2B 02 00 D6","=> Event 1 Status query","","","","2B","","","","","","","",""
"29","154.318","0.00218767","0.227912","05/18/23 14:19:19 +318251000 ns","154.3183","01 06","ACK =>","","","","","","","","","","","",""
"30","154.433","0.00562467","0.11229","05/18/23 14:19:19 +432729000 ns","154.4327","01 2C 02 00 D1","=> Event 1 Status query","","","","2C","","","","","","","",""
"31","154.67","0.00218767","0.231558","05/18/23 14:19:19 +669912000 ns","154.6699","01 06","ACK =>","","","","","","","","","","","",""
"32","154.781","0.00562567","0.108845","05/18/23 14:19:19 +780945000 ns","154.7809","01 2D 02 00 D0","=> Event 1 Status query","","","","2D","","","","","","","",""
"33","155.01","0.00218767","0.223433","05/18/23 14:19:20 +10004000 ns","155.01","01 06","ACK =>","","","","","","","","","","","",""
"34","155.129","0.00562467","0.11656","05/18/23 14:19:20 +128752000 ns","155.1288","01 1E 02 00 E3","=> Static status query","","","","1E","","","","","","","",""
"35","155.362","0.00218667","0.227809","05/18/23 14:19:20 +362186000 ns","155.3622","01 06","ACK =>","","","","","","","","","","","",""
"36","155.498","0.00218667","0.133644","05/18/23 14:19:20 +498017000 ns","155.498","01 06","ACK =>","","","","","","","","","","","",""
"37","155.638","0.00218667","0.138019","05/18/23 14:19:20 +638223000 ns","155.6382","01 06","ACK =>","","","","","","","","","","","",""
"38","155.992","0.00562567","0.352077","05/18/23 14:19:20 +992487000 ns","155.9925","01 1F 02 00 E2","=> Static status query","","","","1F","","","","","","","",""
"39","156.15","0.00218767","0.151969","05/18/23 14:19:21 +150082000 ns","156.1501","01 06","ACK =>","","","","","","","","","","","",""
"40","156.176","0.00562467","0.0238543","05/18/23 14:19:21 +176124000 ns","156.1761","01 20 02 0A D7","=> Event 1 Status query","","","","20","","","","","","","",""
"41","156.33","0.00218667","0.148435","05/18/23 14:19:21 +330184000 ns","156.3302","01 06","ACK =>","","","","","","","","","","","",""
"42","156.356","0.00562567","0.0235413","05/18/23 14:19:21 +355912000 ns","156.3559","01 11 02 00 EC","=> Static status query","","","","11","","","","","","","",""
"43","156.51","0.00218767","0.148434","05/18/23 14:19:21 +509972000 ns","156.51","01 06","ACK =>","","","","","","","","","","","",""
"44","156.536","0.00562467","0.0235413","05/18/23 14:19:21 +535701000 ns","156.5357","01 22 02 00 DF","=> Event 1 Status query","","","","22","","","","","","","",""
"45","156.694","0.00218767","0.152497","05/18/23 14:19:21 +693823000 ns","156.6938","01 06","ACK =>","","","","","","","","","","","",""
"46","156.72","0.00562467","0.0235413","05/18/23 14:19:21 +719552000 ns","156.7196","01 13 02 00 EE","=> Static status query","","","","13","","","","","","","",""
"47","156.878","0.00218767","0.152914","05/18/23 14:19:21 +878091000 ns","156.8781","01 06","ACK =>","","","","","","","","","","","",""
"48","156.904","0.00562467","0.0236453","05/18/23 14:19:21 +903924000 ns","156.9039","01 14 02 00 E9","=> Static status query","","","","14","","","","","","","",""
"49","157.07","0.00218767","0.160414","05/18/23 14:19:22 +69963000 ns","157.07","01 06","ACK =>","","","","","","","","","","","",""
