"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","114.04","0.00104167","114.04","05/23/23 09:17:47 +39510000 ns","114.0395","E0","","","","","","","","","","","","",""
"2","119.69","0.00218667","5.64945","05/23/23 09:17:52 +690001000 ns","119.69","01 06","ACK <=","","","","","","","","","","","",""
"3","119.711","0.0102087","0.0191663","05/23/23 09:17:52 +711354000 ns","119.7114","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"4","131.378","0.00562567","11.6561","05/23/23 09:18:04 +377641000 ns","131.3776","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"5","131.43","0.00677067","0.0467633","05/23/23 09:18:04 +430030000 ns","131.43","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"6","132.253","0.00218767","0.816294","05/23/23 09:18:05 +253095000 ns","132.2531","01 06","ACK <=","","","","","","","","","","","",""
"7","132.262","0.00677067","0.00625033","05/23/23 09:18:05 +261533000 ns","132.2615","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"8","135.353","0.00250067","3.08424","05/23/23 09:18:08 +352541000 ns","135.3525","01 06","ACK <=","","","","","","","","","","","",""
"9","135.362","0.00562567","0.00697833","05/23/23 09:18:08 +362020000 ns","135.362","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"10","138.477","0.00218767","3.10913","05/23/23 09:18:11 +476779000 ns","138.4768","01 06","ACK <=","","","","","","","","","","","",""
"11","138.485","0.00562467","0.00593733","05/23/23 09:18:11 +484904000 ns","138.4849","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"12","141.602","0.00218667","3.11195","05/23/23 09:18:14 +602475000 ns","141.6025","01 06","ACK <=","","","","","","","","","","","",""
"13","141.612","0.00562467","0.00718833","05/23/23 09:18:14 +611850000 ns","141.6118","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"14","144.723","0.00218667","3.1057","05/23/23 09:18:17 +723171000 ns","144.7232","01 06","ACK <=","","","","","","","","","","","",""
"15","144.731","0.00562567","0.00593733","05/23/23 09:18:17 +731295000 ns","144.7313","01 67 02 7F E5","<= EBLU Query Reply","","","","67","","","","","","","",""
"16","146.633","0.00218767","1.8959","05/23/23 09:18:19 +632819000 ns","146.6328","01 06","ACK <=","","","","","","","","","","","",""
"17","146.643","0.00937467","0.00750033","05/23/23 09:18:19 +642507000 ns","146.6425","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"18","146.745","0.00239567","0.0930123","05/23/23 09:18:19 +744894000 ns","146.7449","01 06","ACK <=","","","","","","","","","","","",""
"19","146.755","0.00697867","0.00739633","05/23/23 09:18:19 +754686000 ns","146.7547","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"20","146.83","0.00218767","0.0682213","05/23/23 09:18:19 +829886000 ns","146.8299","01 06","ACK <=","","","","","","","","","","","",""
"21","146.942","0.00218767","0.109887","05/23/23 09:18:19 +941961000 ns","146.942","01 06","ACK <=","","","","","","","","","","","",""
"22","147.053","0.00218767","0.109054","05/23/23 09:18:20 +53203000 ns","147.0532","01 06","ACK <=","","","","","","","","","","","",""
"23","147.062","0.00947867","0.00677033","05/23/23 09:18:20 +62161000 ns","147.0622","01 1A 05 03 12 0C 03 FE","<= Static status reply","","","","1A","","","","","","","",""
"24","147.146","0.00218767","0.0741593","05/23/23 09:18:20 +145799000 ns","147.1458","01 06","ACK <=","","","","","","","","","","","",""
"25","147.156","0.00718767","0.00822833","05/23/23 09:18:20 +156215000 ns","147.1562","01 2B 03 00 C0 17","<= Event 1 Status reply","00 C0","","","2B","","","","","","","",""
"26","148.295","0.00218767","1.13126","05/23/23 09:18:21 +294666000 ns","148.2947","01 06","ACK <=","","","","","","","","","","","",""
"27","148.304","0.00937467","0.00677033","05/23/23 09:18:21 +303624000 ns","148.3036","01 1C 05 03 12 0C 03 F8","<= Static status reply","","","","1C","","","","","","","",""
"28","148.407","0.00218767","0.0936383","05/23/23 09:18:21 +406637000 ns","148.4066","01 06","ACK <=","","","","","","","","","","","",""
"29","148.415","0.00687567","0.00635333","05/23/23 09:18:21 +415178000 ns","148.4152","01 2D 03 00 C0 11","<= Event 1 Status reply","00 C0","","","2D","","","","","","","",""
"30","148.517","0.00218767","0.0954083","05/23/23 09:18:21 +517462000 ns","148.5175","01 06","ACK <=","","","","","","","","","","","",""
"31","148.542","0.00687467","0.0218743","05/23/23 09:18:21 +541524000 ns","148.5415","01 2E 03 86 00 54","<= Event 1 Status reply","86 00","","","2E","","","","","","","",""
"32","148.594","0.00687467","0.0453123","05/23/23 09:18:21 +593711000 ns","148.5937","01 2F 03 80 00 53","<= Event 1 Status reply","80 00","","","2F","","","","","","","",""
"33","148.629","0.00218667","0.0288473","05/23/23 09:18:21 +629433000 ns","148.6294","01 06","ACK <=","","","","","","","","","","","",""
"34","148.686","0.00927067","0.0539573","05/23/23 09:18:21 +685577000 ns","148.6856","01 10 05 03 10 00 03 FA","<= Static status reply","","","","10","","","","","","","",""
"35","148.724","0.00218667","0.0290563","05/23/23 09:18:21 +723904000 ns","148.7239","01 06","ACK <=","","","","","","","","","","","",""
"36","148.782","0.00718767","0.0556243","05/23/23 09:18:21 +781715000 ns","148.7817","01 21 03 84 00 59","<= Event 1 Status reply","84 00","","","21","","","","","","","",""
"37","148.833","0.00708267","0.0445763","05/23/23 09:18:21 +833479000 ns","148.8335","01 22 03 04 00 DA","<= Event 1 Status reply","04 00","","","22","","","","","","","",""
"38","148.894","0.00687467","0.0533323","05/23/23 09:18:21 +893894000 ns","148.8939","01 23 03 86 00 59","<= Event 1 Status reply","86 00","","","23","","","","","","","",""
"39","148.981","0.00218767","0.0805133","05/23/23 09:18:21 +981282000 ns","148.9813","01 06","ACK <=","","","","","","","","","","","",""
"40","148.992","0.00906267","0.00874933","05/23/23 09:18:21 +992219000 ns","148.9922","01 14 05 03 10 00 03 FE","<= Static status reply","","","","14","","","","","","","",""
"41","149.093","0.00218767","0.0920753","05/23/23 09:18:22 +93357000 ns","149.0934","01 06","ACK <=","","","","","","","","","","","",""
"42","149.103","0.00718667","0.00770833","05/23/23 09:18:22 +103253000 ns","149.1033","01 25 03 06 00 DF","<= Event 1 Status reply","06 00","","","25","","","","","","","",""
"43","149.206","0.00218767","0.0957213","05/23/23 09:18:22 +206161000 ns","149.2062","01 06","ACK <=","","","","","","","","","","","",""
"44","149.216","0.00947867","0.00791633","05/23/23 09:18:22 +216265000 ns","149.2163","01 16 05 03 00 00 03 EC","<= Static status reply","","","","16","","","","","","","",""
"45","149.318","0.00218767","0.0927003","05/23/23 09:18:22 +318444000 ns","149.3185","01 06","ACK <=","","","","","","","","","","","",""
"46","149.328","0.00697867","0.00739633","05/23/23 09:18:22 +328028000 ns","149.328","01 27 03 06 00 DD","<= Event 1 Status reply","06 00","","","27","","","","","","","",""
"47","149.431","0.00218767","0.0962413","05/23/23 09:18:22 +431248000 ns","149.4312","01 06","ACK <=","","","","","","","","","","","",""
"48","149.441","0.00937467","0.00802133","05/23/23 09:18:22 +441457000 ns","149.4415","01 18 05 03 00 00 03 E2","<= Static status reply","","","","18","","","","","","","",""
"49","149.543","0.00218667","0.0925963","05/23/23 09:18:22 +543428000 ns","149.5434","01 06","ACK <=","","","","","","","","","","","",""
"50","149.553","0.00677067","0.00708333","05/23/23 09:18:22 +552698000 ns","149.5527","01 29 03 06 00 D3","<= Event 1 Status reply","06 00","","","29","","","","","","","",""
"51","149.656","0.00218767","0.0960333","05/23/23 09:18:22 +655502000 ns","149.6555","01 06","ACK <=","","","","","","","","","","","",""
"52","149.664","0.00927067","0.00677133","05/23/23 09:18:22 +664461000 ns","149.6645","01 1A 05 03 00 00 03 E0","<= Static status reply","","","","1A","","","","","","","",""
"53","149.767","0.00229167","0.0930123","05/23/23 09:18:22 +766744000 ns","149.7667","01 06","ACK <=","","","","","","","","","","","",""
"54","149.776","0.00708367","0.00729133","05/23/23 09:18:22 +776327000 ns","149.7763","01 2B 03 06 00 D1","<= Event 1 Status reply","06 00","","","2B","","","","","","","",""
"55","149.91","0.00218667","0.127068","05/23/23 09:18:22 +910479000 ns","149.9105","01 06","ACK <=","","","","","","","","","","","",""
