"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","2.73834","0.00104167","2.73834","05/23/23 09:15:55 +738341000 ns","2.738341","FF","","","","","","","","","","","","",""
"2","116.566","0.00562567","113.826","05/23/23 09:17:49 +565867000 ns","116.5659","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","116.87","0.00562467","0.298015","05/23/23 09:17:49 +869508000 ns","116.8695","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","117.173","0.00562567","0.298217","05/23/23 09:17:50 +173350000 ns","117.1733","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","119.677","0.00562467","2.49828","05/23/23 09:17:52 +677260000 ns","119.6773","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"6","119.759","0.00218767","0.0762423","05/23/23 09:17:52 +759127000 ns","119.7591","01 06","ACK =>","","","","","","","","","","","",""
"7","131.426","0.00218767","11.6644","05/23/23 09:18:04 +425746000 ns","131.4258","01 06","ACK =>","","","","","","","","","","","",""
"8","131.477","0.00218667","0.0493743","05/23/23 09:18:04 +477308000 ns","131.4773","01 06","ACK =>","","","","","","","","","","","",""
"9","132.236","0.00677067","0.756862","05/23/23 09:18:05 +236357000 ns","132.2364","01 C1 03 55 55 3D","=> Update breakthrough force","","","","C1","","","","","","","",""
"10","132.301","0.00218767","0.0582283","05/23/23 09:18:05 +301356000 ns","132.3014","01 06","ACK =>","","","","","","","","","","","",""
"11","135.337","0.00562567","3.03347","05/23/23 09:18:08 +337014000 ns","135.337","01 B2 02 FF B0","=> EBLU Query","","","","B2","","","","","","","",""
"12","135.4","0.00218767","0.0576023","05/23/23 09:18:08 +400242000 ns","135.4002","01 06","ACK =>","","","","","","","","","","","",""
"13","138.464","0.00562567","3.06202","05/23/23 09:18:11 +464448000 ns","138.4644","01 B3 02 FF B1","=> EBLU Query","","","","B3","","","","","","","",""
"14","138.525","0.00218667","0.0551033","05/23/23 09:18:11 +525177000 ns","138.5252","01 06","ACK =>","","","","","","","","","","","",""
"15","141.586","0.00562467","3.05868","05/23/23 09:18:14 +586043000 ns","141.586","01 B4 02 FF B6","=> EBLU Query","","","","B4","","","","","","","",""
