"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","6.694","0.00104167","6.694","05/23/23 11:43:49 +693998000 ns","6.693998","FF","","","","","","","","","","","","",""
"2","24.3814","0.00562567","17.6863","05/23/23 11:44:07 +381380000 ns","24.38138","01 60 02 FF 62","<= EBLU Query Reply","","","","60","","","","","","","",""
"3","24.5882","0.00572967","0.201226","05/23/23 11:44:07 +588232000 ns","24.58823","01 60 02 FF 62","<= EBLU Query Reply","","","","60","","","","","","","",""
"4","24.7968","0.00604167","0.202795","05/23/23 11:44:07 +796757000 ns","24.79676","01 60 02 FF 62","<= EBLU Query Reply","","","","60","","","","","","","",""
"5","25.0066","0.00687467","0.203831","05/23/23 11:44:08 +6630000 ns","25.00663","01 20 03 80 C0 9C","<= Event 1 Status reply","80 C0","","","20","","","","","","","",""
"6","25.2145","0.00677067","0.201019","05/23/23 11:44:08 +214524000 ns","25.21452","01 20 03 80 C0 9C","<= Event 1 Status reply","80 C0","","","20","","","","","","","",""
"7","25.4238","0.00697867","0.202477","05/23/23 11:44:08 +423772000 ns","25.42377","01 20 03 80 C0 9C","<= Event 1 Status reply","80 C0","","","20","","","","","","","",""
"8","34.4286","0.00802067","8.99782","05/23/23 11:44:17 +428567000 ns","34.42857","01 50 03 08 31 00 AD","<= INVALID RESPONSE","","","","50","","","","","","","",""
"9","34.6372","0.00822967","0.200608","05/23/23 11:44:17 +637196000 ns","34.6372","01 50 03 08 31 00 AD","<= INVALID RESPONSE","","","","50","","","","","","","",""
"10","34.846","0.00822967","0.200601","05/23/23 11:44:17 +846027000 ns","34.84603","01 50 03 08 31 00 AD","<= INVALID RESPONSE","","","","50","","","","","","","",""
"11","35.5318","0.00687467","0.677534","05/23/23 11:44:18 +531791000 ns","35.53179","01 20 03 80 80 DC","<= Event 1 Status reply","80 80","","","20","","","","","","","",""
"12","35.7389","0.00687467","0.200185","05/23/23 11:44:18 +738851000 ns","35.73885","01 20 03 80 80 DC","<= Event 1 Status reply","80 80","","","20","","","","","","","",""
"13","35.9476","0.00697867","0.201852","05/23/23 11:44:18 +947578000 ns","35.94758","01 20 03 80 80 DC","<= Event 1 Status reply","80 80","","","20","","","","","","","",""
"14","36.1576","0.00697867","0.202998","05/23/23 11:44:19 +157555000 ns","36.15755","01 20 03 80 00 5C","<= Event 1 Status reply","80 00","","","20","","","","","","","",""
"15","36.3652","0.00697867","0.200713","05/23/23 11:44:19 +365247000 ns","36.36525","01 20 03 80 00 5C","<= Event 1 Status reply","80 00","","","20","","","","","","","",""
"16","36.5742","0.00687467","0.201956","05/23/23 11:44:19 +574182000 ns","36.57418","01 20 03 80 00 5C","<= Event 1 Status reply","80 00","","","20","","","","","","","",""
"17","41.9576","0.00677067","5.37652","05/23/23 11:44:24 +957580000 ns","41.95758","01 20 03 80 02 5E","<= Event 1 Status reply","80 02","Paddles Forced","","20","","","","","","","",""
"18","42.1645","0.00697967","0.200185","05/23/23 11:44:25 +164536000 ns","42.16454","01 20 03 80 02 5E","<= Event 1 Status reply","80 02","Paddles Forced","","20","","","","","","","",""
"19","42.3735","0.00697267","0.201962","05/23/23 11:44:25 +373478000 ns","42.37348","01 20 03 80 02 5E","<= Event 1 Status reply","80 02","Paddles Forced","","20","","","","","","","",""
"20","42.6967","0.00687567","0.316218","05/23/23 11:44:25 +696669000 ns","42.69667","01 20 03 80 03 5F","<= Event 1 Status reply","80 03","Paddles Forced","","20","","","","","","","",""
"21","42.9038","0.00686867","0.200295","05/23/23 11:44:25 +903840000 ns","42.90384","01 20 03 80 03 5F","<= Event 1 Status reply","80 03","Paddles Forced","","20","","","","","","","",""
"22","43.1126","0.00708367","0.201858","05/23/23 11:44:26 +112567000 ns","43.11257","01 20 03 80 03 5F","<= Event 1 Status reply","80 03","Paddles Forced","","20","","","","","","","",""
"23","88.2045","0.00229167","45.0849","05/23/23 11:45:11 +204519000 ns","88.20452","01 06","ACK <=","","","","","","","","","","","",""
"24","91.3058","0.00218767","3.09894","05/23/23 11:45:14 +305755000 ns","91.30576","01 06","ACK <=","","","","","","","","","","","",""
"25","94.437","0.00218067","3.12906","05/23/23 11:45:17 +436998000 ns","94.437","01 06","ACK <=","","","","","","","","","","","",""
"26","97.5577","0.00218767","3.11853","05/23/23 11:45:20 +557713000 ns","97.55772","01 06","ACK <=","","","","","","","","","","","",""
"27","100.687","0.00218667","3.12665","05/23/23 11:45:23 +686554000 ns","100.6866","01 06","ACK <=","","","","","","","","","","","",""
"28","101.485","0.00562567","0.795852","05/23/23 11:45:24 +484593000 ns","101.4846","01 60 02 FF 62","<= EBLU Query Reply","","","","60","","","","","","","",""
"29","101.521","0.00677067","0.0307283","05/23/23 11:45:24 +520947000 ns","101.521","01 21 03 80 C0 9D","<= Event 1 Status reply","80 C0","","","21","","","","","","","",""
"30","102.781","0.00218667","1.25351","05/23/23 11:45:25 +781232000 ns","102.7812","01 06","ACK <=","","","","","","","","","","","",""
"31","102.79","0.00687467","0.00625033","05/23/23 11:45:25 +789669000 ns","102.7897","01 82 03 55 55 7E","<= Breakthrough force reply","","","","82","","","","","","","",""
"32","105.895","0.00218767","3.09874","05/23/23 11:45:28 +895280000 ns","105.8953","01 06","ACK <=","","","","","","","","","","","",""
"33","105.903","0.00583267","0.00562533","05/23/23 11:45:28 +903093000 ns","105.9031","01 63 02 FF 61","<= EBLU Query Reply","","","","63","","","","","","","",""
"34","109.029","0.00218667","3.12009","05/23/23 11:45:32 +29017000 ns","109.029","01 06","ACK <=","","","","","","","","","","","",""
"35","109.037","0.00562567","0.00593733","05/23/23 11:45:32 +37141000 ns","109.0371","01 64 02 FF 66","<= EBLU Query Reply","","","","64","","","","","","","",""
"36","112.164","0.00218767","3.12103","05/23/23 11:45:35 +163794000 ns","112.1638","01 06","ACK <=","","","","","","","","","","","",""
"37","112.172","0.00562467","0.00604133","05/23/23 11:45:35 +172023000 ns","112.172","01 65 02 FF 67","<= EBLU Query Reply","","","","65","","","","","","","",""
"38","115.278","0.00260467","3.1004","05/23/23 11:45:38 +278051000 ns","115.2781","01 06","ACK <=","","","","","","","","","","","",""
"39","115.287","0.00583367","0.00624933","05/23/23 11:45:38 +286905000 ns","115.2869","01 66 02 FF 64","<= EBLU Query Reply","","","","66","","","","","","","",""
"40","118.396","0.00239667","3.10332","05/23/23 11:45:41 +396058000 ns","118.3961","01 06","ACK <=","","","","","","","","","","","",""
"41","118.405","0.00583367","0.00624933","05/23/23 11:45:41 +404704000 ns","118.4047","01 67 02 FF 65","<= EBLU Query Reply","","","","67","","","","","","","",""
"42","120.521","0.00218667","2.11062","05/23/23 11:45:43 +521153000 ns","120.5212","01 06","ACK <=","","","","","","","","","","","",""
"43","120.53","0.00937467","0.00625033","05/23/23 11:45:43 +529590000 ns","120.5296","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"44","120.63","0.00218067","0.0913463","05/23/23 11:45:43 +630311000 ns","120.6303","01 06","ACK <=","","","","","","","","","","","",""
"45","120.64","0.00697867","0.00739633","05/23/23 11:45:43 +639888000 ns","120.6399","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"46","120.759","0.00229167","0.112075","05/23/23 11:45:43 +758942000 ns","120.7589","01 06","ACK <=","","","","","","","","","","","",""
"47","120.847","0.00677067","0.0861373","05/23/23 11:45:43 +847371000 ns","120.8474","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"48","120.962","0.00958367","0.107693","05/23/23 11:45:43 +961835000 ns","120.9618","01 1A 05 03 12 0C 03 FE","<= Static status reply","","","","1A","","","","","","","",""
"49","121.083","0.00218767","0.11113","05/23/23 11:45:44 +82549000 ns","121.0826","01 06","ACK <=","","","","","","","","","","","",""
"50","121.091","0.00677067","0.00583333","05/23/23 11:45:44 +90570000 ns","121.0906","01 2B 03 00 C0 17","<= Event 1 Status reply","00 C0","","","2B","","","","","","","",""
"51","121.261","0.00260367","0.163526","05/23/23 11:45:44 +260867000 ns","121.2609","01 06","ACK <=","","","","","","","","","","","",""
"52","121.286","0.00687567","0.0230203","05/23/23 11:45:44 +286491000 ns","121.2865","01 2C 03 98 00 48","<= Event 1 Status reply","98 00","","","2C","","","","","","","",""
"53","121.406","0.00218767","0.113109","05/23/23 11:45:44 +406476000 ns","121.4065","01 06","ACK <=","","","","","","","","","","","",""
"54","121.492","0.00677067","0.0836383","05/23/23 11:45:44 +492302000 ns","121.4923","01 2C 03 98 00 48","<= Event 1 Status reply","98 00","","","2C","","","","","","","",""
"55","121.606","0.00718767","0.107276","05/23/23 11:45:44 +606349000 ns","121.6063","01 2D 03 80 00 51","<= Event 1 Status reply","80 00","","","2D","","","","","","","",""
"56","121.623","0.00927067","0.00968733","05/23/23 11:45:44 +623224000 ns","121.6232","01 1E 05 03 11 0C 03 F9","<= Static status reply","","","","1E","","","","","","","",""
"57","121.646","0.00218767","0.0130203","05/23/23 11:45:44 +645515000 ns","121.6455","01 06","ACK <=","","","","","","","","","","","",""
"58","121.783","0.00687467","0.135401","05/23/23 11:45:44 +783104000 ns","121.7831","01 2F 03 98 00 4B","<= Event 1 Status reply","98 00","","","2F","","","","","","","",""
