"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","85.0499","0.00562467","85.0499","05/23/23 11:45:08 +49859000 ns","85.04986","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"2","85.3789","0.00562467","0.323425","05/23/23 11:45:08 +378909000 ns","85.37891","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"3","85.6827","0.00562467","0.29812","05/23/23 11:45:08 +682654000 ns","85.68266","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"4","88.1867","0.00562467","2.49847","05/23/23 11:45:11 +186746000 ns","88.18674","01 D0 02 FE D3","=> Initialise","","","","D0","","","","","","","",""
"5","91.29","0.00562567","3.09762","05/23/23 11:45:14 +289987000 ns","91.28999","01 D1 02 FE D2","=> Initialise","","","","D1","","","","","","","",""
"6","94.4171","0.00562467","3.12147","05/23/23 11:45:17 +417083000 ns","94.41708","01 D2 02 FE D1","=> Initialise","","","","D2","","","","","","","",""
"7","97.5462","0.00562467","3.12345","05/23/23 11:45:20 +546158000 ns","97.54616","01 D3 02 FE D0","=> Initialise","","","","D3","","","","","","","",""
"8","100.667","0.00562467","3.11532","05/23/23 11:45:23 +667107000 ns","100.6671","01 D4 02 FE D7","=> Initialise","","","","D4","","","","","","","",""
"9","101.517","0.00218667","0.843834","05/23/23 11:45:24 +516566000 ns","101.5166","01 06","ACK =>","","","","","","","","","","","",""
"10","101.654","0.00218767","0.135095","05/23/23 11:45:24 +653848000 ns","101.6538","01 06","ACK =>","","","","","","","","","","","",""
"11","102.767","0.00677067","1.11059","05/23/23 11:45:25 +766629000 ns","102.7666","01 C5 03 55 55 39","=> Update breakthrough force","","","","C5","","","","","","","",""
"12","102.922","0.00218767","0.14906","05/23/23 11:45:25 +922460000 ns","102.9225","01 06","ACK =>","","","","","","","","","","","",""
"13","105.883","0.00562567","2.95824","05/23/23 11:45:28 +882891000 ns","105.8829","01 B6 02 FF B4","=> EBLU Query","","","","B6","","","","","","","",""
"14","106.031","0.00218767","0.142809","05/23/23 11:45:29 +31326000 ns","106.0313","01 06","ACK =>","","","","","","","","","","","",""
"15","109.017","0.00562567","2.98314","05/23/23 11:45:32 +16653000 ns","109.0167","01 B7 02 FF B5","=> EBLU Query","","","","B7","","","","","","","",""
"16","109.167","0.00218767","0.144997","05/23/23 11:45:32 +167276000 ns","109.1673","01 06","ACK =>","","","","","","","","","","","",""
