"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.204454","0.00249967","0.204454","05/23/23 11:58:51 +204454000 ns","0.204454","01 06","ACK <=","","","","","","","","","","","",""
"2","0.214454","0.0103057","0.00750033","05/23/23 11:58:51 +214454000 ns","0.214454","01 16 05 03 08 31 0C 03 E1","<= Static status reply","","","","16","","","","","","","",""
"3","0.300169","0.00218667","0.0754093","05/23/23 11:58:51 +300169000 ns","0.300169","01 06","ACK <=","","","","","","","","","","","",""
"4","0.310793","0.00697967","0.00843733","05/23/23 11:58:51 +310793000 ns","0.310793","01 27 03 18 00 C3","<= Event 1 Status reply","18 00","","","27","","","","","","","",""
"5","0.414327","0.00229167","0.0965543","05/23/23 11:58:51 +414327000 ns","0.414327","01 06","ACK <=","","","","","","","","","","","",""
"6","0.423389","0.0103127","0.00677033","05/23/23 11:58:51 +423389000 ns","0.423389","01 18 05 03 08 31 0C 03 EF","<= Static status reply","","","","18","","","","","","","",""
"7","0.500569","0.00218767","0.0668673","05/23/23 11:58:51 +500569000 ns","0.500569","01 06","ACK <=","","","","","","","","","","","",""
"8","0.509215","0.00718067","0.00645833","05/23/23 11:58:51 +509215000 ns","0.509215","01 29 03 18 00 CD","<= Event 1 Status reply","18 00","","","29","","","","","","","",""
"9","0.816052","0.00229167","0.299656","05/23/23 11:58:51 +816052000 ns","0.816052","01 06","ACK <=","","","","","","","","","","","",""
"10","0.825114","0.0105207","0.00677033","05/23/23 11:58:51 +825114000 ns","0.825114","01 1A 05 03 08 31 0C 03 ED","<= Static status reply","","","","1A","","","","","","","",""
"11","0.928127","0.00218667","0.0924923","05/23/23 11:58:51 +928127000 ns","0.928127","01 06","ACK <=","","","","","","","","","","","",""
"12","0.937814","0.00677067","0.00750033","05/23/23 11:58:51 +937814000 ns","0.937814","01 2B 03 18 00 CF","<= Event 1 Status reply","18 00","","","2B","","","","","","","",""
"13","1.24893","0.00218067","0.304344","05/23/23 11:58:52 +248929000 ns","1.248929","01 06","ACK <=","","","","","","","","","","","",""
"14","1.25955","0.0105207","0.00843733","05/23/23 11:58:52 +259547000 ns","1.259547","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"15","1.36121","0.00218767","0.0911373","05/23/23 11:58:52 +361205000 ns","1.361205","01 06","ACK <=","","","","","","","","","","","",""
"16","1.37162","0.00697867","0.00822933","05/23/23 11:58:52 +371622000 ns","1.371622","01 2D 03 18 00 C9","<= Event 1 Status reply","18 00","","","2D","","","","","","","",""
