"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.187794","0.00562467","0.187794","05/23/23 11:58:51 +187794000 ns","0.187794","01 17 02 00 EA","=> Static status query","","","","17","","","","","","","",""
"2","0.252578","0.00218767","0.0591593","05/23/23 11:58:51 +252578000 ns","0.252578","01 06","ACK =>","","","","","","","","","","","",""
"3","0.28164","0.00562467","0.0268743","05/23/23 11:58:51 +281640000 ns","0.28164","01 28 02 0A DF","=> Event 1 Status query","","","","28","","","","","","","",""
"4","0.348722","0.00218767","0.0614573","05/23/23 11:58:51 +348722000 ns","0.348722","01 06","ACK =>","","","","","","","","","","","",""
"5","0.399555","0.00562467","0.0486453","05/23/23 11:58:51 +399555000 ns","0.399555","01 19 02 00 E4","=> Static status query","","","","19","","","","","","","",""
"6","0.462262","0.00218767","0.0570823","05/23/23 11:58:51 +462262000 ns","0.462262","01 06","ACK =>","","","","","","","","","","","",""
"7","0.487991","0.00562467","0.0235413","05/23/23 11:58:51 +487991000 ns","0.487991","01 2A 02 0A DD","=> Event 1 Status query","","","","2A","","","","","","","",""
"8","0.548511","0.00218667","0.0548953","05/23/23 11:58:51 +548511000 ns","0.548511","01 06","ACK =>","","","","","","","","","","","",""
"9","0.801729","0.00562467","0.251031","05/23/23 11:58:51 +801729000 ns","0.801729","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"10","0.864228","0.00218767","0.0568743","05/23/23 11:58:51 +864228000 ns","0.864228","01 06","ACK =>","","","","","","","","","","","",""
"11","0.91506","0.00562567","0.0486443","05/23/23 11:58:51 +915060000 ns","0.91506","01 2C 02 0A DB","=> Event 1 Status query","","","","2C","","","","","","","",""
"12","0.976205","0.00218767","0.0555193","05/23/23 11:58:51 +976205000 ns","0.976205","01 06","ACK =>","","","","","","","","","","","",""
"13","1.22994","0.00562567","0.251551","05/23/23 11:58:52 +229944000 ns","1.229944","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"14","1.31723","0.00218667","0.0816653","05/23/23 11:58:52 +317235000 ns","1.317235","01 06","ACK =>","","","","","","","","","","","",""
"15","1.34296","0.00562567","0.0235413","05/23/23 11:58:52 +342963000 ns","1.342963","01 2E 02 0A D9","=> Event 1 Status query","","","","2E","","","","","","","",""
"16","1.40942","0.00218667","0.0608323","05/23/23 11:58:52 +409421000 ns","1.409421","01 06","ACK =>","","","","","","","","","","","",""
