"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.020621","0.00218767","0.020621","05/02/23 14:05:12 +20621000 ns","0.020621","01 06","ACK <=","","","","","","","","","","","",""
"2","0.108426","0.00687467","0.0856173","05/02/23 14:05:12 +108426000 ns","0.108426","01 2D 03 00 C0 11","<= Event 1 Status reply","00 C0","","","2D","","","","","","","",""
"3","0.223626","0.00937467","0.108325","05/02/23 14:05:12 +223626000 ns","0.223626","01 1E 05 03 12 0C 03 FA","<= Static status reply","","","","1E","","","","","","","",""
"4","0.344659","0.00218767","0.111658","05/02/23 14:05:12 +344659000 ns","0.344659","01 06","ACK <=","","","","","","","","","","","",""
"5","0.3532","0.00718167","0.00635333","05/02/23 14:05:12 +353200000 ns","0.3532","01 2F 03 00 C0 13","<= Event 1 Status reply","00 C0","","","2F","","","","","","","",""
"6","0.524122","0.00218767","0.16374","05/02/23 14:05:12 +524122000 ns","0.524122","01 06","ACK <=","","","","","","","","","","","",""
"7","0.533184","0.00916667","0.00687433","05/02/23 14:05:12 +533184000 ns","0.533184","01 10 05 03 12 0C 03 F4","<= Static status reply","","","","10","","","","","","","",""
"8","0.711502","0.00218667","0.169151","05/02/23 14:05:12 +711502000 ns","0.711502","01 06","ACK <=","","","","","","","","","","","",""
"9","0.721397","0.00937467","0.00770833","05/02/23 14:05:12 +721397000 ns","0.721397","01 11 05 03 12 0C 03 F5","<= Static status reply","","","","11","","","","","","","",""
"10","0.795348","0.00249967","0.0645763","05/02/23 14:05:12 +795348000 ns","0.795348","01 06","ACK <=","","","","","","","","","","","",""
"11","0.803785","0.00687467","0.00593733","05/02/23 14:05:12 +803785000 ns","0.803785","01 22 03 00 C0 1E","<= Event 1 Status reply","00 C0","","","22","","","","","","","",""
"12","0.92086","0.00218767","0.1102","05/02/23 14:05:12 +920860000 ns","0.92086","01 06","ACK <=","","","","","","","","","","","",""
"13","1.01012","0.00718667","0.0870753","05/02/23 14:05:13 +10123000 ns","1.010123","01 22 03 00 C0 1E","<= Event 1 Status reply","00 C0","","","22","","","","","","","",""
"14","1.12397","0.00937467","0.106659","05/02/23 14:05:13 +123969000 ns","1.123969","01 13 05 03 12 0C 03 F7","<= Static status reply","","","","13","","","","","","","",""
"15","1.24459","0.00218767","0.111241","05/02/23 14:05:13 +244585000 ns","1.244585","01 06","ACK <=","","","","","","","","","","","",""
"16","1.25302","0.00718767","0.00624933","05/02/23 14:05:13 +253022000 ns","1.253022","01 24 03 00 C0 18","<= Event 1 Status reply","00 C0","","","24","","","","","","","",""
"17","1.42342","0.00218767","0.163213","05/02/23 14:05:13 +423423000 ns","1.423423","01 06","ACK <=","","","","","","","","","","","",""
"18","1.43269","0.00906167","0.00708333","05/02/23 14:05:13 +432694000 ns","1.432694","01 15 05 03 12 0C 03 F1","<= Static status reply","","","","15","","","","","","","",""
"19","1.61174","0.00218767","0.169984","05/02/23 14:05:13 +611740000 ns","1.61174","01 06","ACK <=","","","","","","","","","","","",""
"20","1.62174","0.00937467","0.00781233","05/02/23 14:05:13 +621740000 ns","1.62174","01 16 05 03 12 0C 03 F2","<= Static status reply","","","","16","","","","","","","",""
"21","1.72413","0.00229167","0.0930133","05/02/23 14:05:13 +724128000 ns","1.724128","01 06","ACK <=","","","","","","","","","","","",""
"22","1.73371","0.00697867","0.00729133","05/02/23 14:05:13 +733711000 ns","1.733711","01 27 03 00 C0 1B","<= Event 1 Status reply","00 C0","","","27","","","","","","","",""
"23","1.85339","0.00218767","0.1127","05/02/23 14:05:13 +853390000 ns","1.85339","01 06","ACK <=","","","","","","","","","","","",""
"24","1.94119","0.00677067","0.0856163","05/02/23 14:05:13 +941194000 ns","1.941194","01 27 03 00 C0 1B","<= Event 1 Status reply","00 C0","","","27","","","","","","","",""
"25","2.05619","0.00979167","0.108221","05/02/23 14:05:14 +56186000 ns","2.056186","01 18 05 03 12 0C 03 FC","<= Static status reply","","","","18","","","","","","","",""
"26","2.17659","0.00218767","0.110616","05/02/23 14:05:14 +176594000 ns","2.176594","01 06","ACK <=","","","","","","","","","","","",""
"27","2.18503","0.00697967","0.00624933","05/02/23 14:05:14 +185031000 ns","2.185031","01 29 03 00 C0 15","<= Event 1 Status reply","00 C0","","","29","","","","","","","",""
"28","2.35543","0.00218767","0.163421","05/02/23 14:05:14 +355432000 ns","2.355432","01 06","ACK <=","","","","","","","","","","","",""
"29","2.36481","0.00947867","0.00718733","05/02/23 14:05:14 +364807000 ns","2.364807","01 1A 05 03 12 0C 03 FE","<= Static status reply","","","","1A","","","","","","","",""
"30","2.52719","0.00218767","0.152907","05/02/23 14:05:14 +527193000 ns","2.527193","01 06","ACK <=","","","","","","","","","","","",""
"31","2.53823","0.00936867","0.00885433","05/02/23 14:05:14 +538235000 ns","2.538235","01 1B 05 03 12 0C 03 FF","<= Static status reply","","","","1B","","","","","","","",""
"32","2.61198","0.00218767","0.0643733","05/02/23 14:05:14 +611977000 ns","2.611977","01 06","ACK <=","","","","","","","","","","","",""
"33","2.62052","0.00708267","0.00635433","05/02/23 14:05:14 +620519000 ns","2.620519","01 2C 03 00 C0 10","<= Event 1 Status reply","00 C0","","","2C","","","","","","","",""
"34","5.72569","0.00260467","3.09809","05/02/23 14:05:17 +725687000 ns","5.725687","01 06","ACK <=","","","","","","","","","","","",""
"35","5.73558","0.00593767","0.00729133","05/02/23 14:05:17 +735583000 ns","5.735583","01 6D 02 7F EF","<= EBLU Query Reply","","","","6D","","","","","","","",""
"36","8.86044","0.00218767","3.11892","05/02/23 14:05:20 +860439000 ns","8.860439","01 06","ACK <=","","","","","","","","","","","",""
"37","8.86877","0.00583367","0.00614533","05/02/23 14:05:20 +868772000 ns","8.868772","01 6E 02 7F EC","<= EBLU Query Reply","","","","6E","","","","","","","",""
"38","11.9752","0.00218767","3.10059","05/02/23 14:05:23 +975191000 ns","11.97519","01 06","ACK <=","","","","","","","","","","","",""
"39","11.9853","0.00562467","0.00791633","05/02/23 14:05:23 +985295000 ns","11.9853","01 6F 02 7F ED","<= EBLU Query Reply","","","","6F","","","","","","","",""
"40","15.0924","0.00218767","3.10152","05/02/23 14:05:27 +92443000 ns","15.09244","01 06","ACK <=","","","","","","","","","","","",""
"41","15.1027","0.00562467","0.00802033","05/02/23 14:05:27 +102651000 ns","15.10265","01 60 02 7F E2","<= EBLU Query Reply","","","","60","","","","","","","",""
"42","18.2096","0.00218767","3.10132","05/02/23 14:05:30 +209591000 ns","18.20959","01 06","ACK <=","","","","","","","","","","","",""
"43","18.2199","0.00562467","0.00812433","05/02/23 14:05:30 +219903000 ns","18.2199","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"44","21.3261","0.00218667","3.10059","05/02/23 14:05:33 +326114000 ns","21.32611","01 06","ACK <=","","","","","","","","","","","",""
"45","21.3299","0.699169","0.00156233","05/02/23 14:05:33 +329863000 ns","21.32986","01 62 02 7F E0 F0","<= EBLU Query Reply","","","","62","","","","","","","",""
"46","27.6768","0.00218667","5.64772","05/02/23 14:05:39 +676755000 ns","27.67676","01 06","ACK <=","","","","","","","","","","","",""
"47","27.6984","0.0103127","0.0194723","05/02/23 14:05:39 +698414000 ns","27.69841","01 D0 04 08 31 0B 08 32 29","<= Initialise reply","","","","D0","","","","","","","",""
"48","36.1332","0.00561767","8.42444","05/02/23 14:05:48 +133168000 ns","36.13317","01 61 02 7F E3","<= EBLU Query Reply","","","","61","","","","","","","",""
"49","36.1695","0.00677067","0.0307293","05/02/23 14:05:48 +169515000 ns","36.16951","01 22 03 80 C0 9E","<= Event 1 Status reply","80 C0","","","22","","","","","","","",""
"50","37.0247","0.00218767","0.84837","05/02/23 14:05:49 +24656000 ns","37.02465","01 06","ACK <=","","","","","","","","","","","",""
"51","37.033","0.00677067","0.00614633","05/02/23 14:05:49 +32990000 ns","37.03299","01 83 03 55 55 7F","<= Breakthrough force reply","","","","83","","","","","","","",""
"52","40.1402","0.00260367","3.10048","05/02/23 14:05:52 +140242000 ns","40.14024","01 06","ACK <=","","","","","","","","","","","",""
"53","40.1499","0.00562467","0.00708333","05/02/23 14:05:52 +149929000 ns","40.14993","01 64 02 7F E6","<= EBLU Query Reply","","","","64","","","","","","","",""
"54","43.2565","0.00218767","3.1009","05/02/23 14:05:55 +256452000 ns","43.25645","01 06","ACK <=","","","","","","","","","","","",""
"55","43.2602","0.00562467","0.00156233","05/02/23 14:05:55 +260202000 ns","43.2602","01 65 02 7F E7","<= EBLU Query Reply","","","","65","","","","","","","",""
"56","46.3917","0.00260467","3.1259","05/02/23 14:05:58 +391724000 ns","46.39172","01 06","ACK <=","","","","","","","","","","","",""
"57","46.4013","0.00562467","0.00697933","05/02/23 14:05:58 +401308000 ns","46.40131","01 66 02 7F E4","<= EBLU Query Reply","","","","66","","","","","","","",""
"58","49.2522","0.00218767","2.8453","05/02/23 14:06:01 +252229000 ns","49.25223","01 06","ACK <=","","","","","","","","","","","",""
"59","49.2619","0.00906267","0.00749333","05/02/23 14:06:01 +261910000 ns","49.26191","01 17 05 03 12 0C 03 F3","<= Static status reply","","","","17","","","","","","","",""
"60","49.3823","0.00218767","0.111345","05/02/23 14:06:01 +382318000 ns","49.38232","01 06","ACK <=","","","","","","","","","","","",""
"61","49.4704","0.00958367","0.0859293","05/02/23 14:06:01 +470435000 ns","49.47044","01 17 05 03 12 0C 03 F3","<= Static status reply","","","","17","","","","","","","",""
"62","49.4874","0.00677067","0.00739533","05/02/23 14:06:01 +487414000 ns","49.48742","01 28 03 00 C0 14","<= Event 1 Status reply","00 C0","","","28","","","","","","","",""
"63","49.6053","0.00218767","0.111137","05/02/23 14:06:01 +605322000 ns","49.60532","01 06","ACK <=","","","","","","","","","","","",""
"64","49.6345","0.00697967","0.0269783","05/02/23 14:06:01 +634488000 ns","49.63449","01 29 03 98 00 4D","<= Event 1 Status reply","98 00","","","29","","","","","","","",""
"65","49.7459","0.00687567","0.10447","05/02/23 14:06:01 +745938000 ns","49.74594","01 2A 03 80 00 56","<= Event 1 Status reply","80 00","","","2A","","","","","","","",""
"66","49.8107","0.00687567","0.0579083","05/02/23 14:06:01 +810722000 ns","49.81072","01 2B 03 98 00 4F","<= Event 1 Status reply","98 00","","","2B","","","","","","","",""
"67","49.8335","0.00218667","0.0159373","05/02/23 14:06:01 +833535000 ns","49.83353","01 06","ACK <=","","","","","","","","","","","",""
"68","49.9714","0.0103127","0.13572","05/02/23 14:06:01 +971442000 ns","49.97144","01 1C 05 03 08 31 0C 03 EB","<= Static status reply","","","","1C","","","","","","","",""
"69","49.9941","0.00218767","0.0123893","05/02/23 14:06:01 +994144000 ns","49.99414","01 06","ACK <=","","","","","","","","","","","",""
"70","50.1316","0.00687467","0.135303","05/02/23 14:06:02 +131635000 ns","50.13163","01 2D 03 18 00 C9","<= Event 1 Status reply","18 00","","","2D","","","","","","","",""
"71","50.1542","0.00218767","0.0157293","05/02/23 14:06:02 +154239000 ns","50.15424","01 06","ACK <=","","","","","","","","","","","",""
"72","50.2919","0.00718767","0.135511","05/02/23 14:06:02 +291938000 ns","50.29194","01 2E 03 18 00 CA","<= Event 1 Status reply","18 00","","","2E","","","","","","","",""
"73","50.3152","0.00218667","0.0160353","05/02/23 14:06:02 +315161000 ns","50.31516","01 06","ACK <=","","","","","","","","","","","",""
"74","50.4531","0.0106257","0.13572","05/02/23 14:06:02 +453068000 ns","50.45307","01 1F 05 03 08 31 0C 03 E8","<= Static status reply","","","","1F","","","","","","","",""
"75","50.4757","0.00218767","0.0119783","05/02/23 14:06:02 +475672000 ns","50.47567","01 06","ACK <=","","","","","","","","","","","",""
"76","50.6129","0.00686867","0.134991","05/02/23 14:06:02 +612851000 ns","50.61285","01 20 03 18 00 C4","<= Event 1 Status reply","18 00","","","20","","","","","","","",""
"77","50.6354","0.00218767","0.0157283","05/02/23 14:06:02 +635448000 ns","50.63545","01 06","ACK <=","","","","","","","","","","","",""
"78","50.7726","0.00677067","0.134991","05/02/23 14:06:02 +772627000 ns","50.77263","01 21 03 18 00 C5","<= Event 1 Status reply","18 00","","","21","","","","","","","",""
"79","50.795","0.00218767","0.0156243","05/02/23 14:06:02 +795022000 ns","50.79502","01 06","ACK <=","","","","","","","","","","","",""
"80","50.9338","0.0103127","0.136547","05/02/23 14:06:02 +933757000 ns","50.93376","01 12 05 03 08 31 0C 03 E5","<= Static status reply","","","","12","","","","","","","",""
"81","50.956","0.00218767","0.0119783","05/02/23 14:06:02 +956048000 ns","50.95605","01 06","ACK <=","","","","","","","","","","","",""
"82","51.094","0.00677067","0.13572","05/02/23 14:06:03 +93956000 ns","51.09396","01 23 03 18 00 C7","<= Event 1 Status reply","18 00","","","23","","","","","","","",""
"83","51.1164","0.00229167","0.0156243","05/02/23 14:06:03 +116351000 ns","51.11635","01 06","ACK <=","","","","","","","","","","","",""
"84","51.2473","0.00677067","0.128631","05/02/23 14:06:03 +247274000 ns","51.24727","01 24 03 18 00 C0","<= Event 1 Status reply","18 00","","","24","","","","","","","",""
"85","51.2666","0.00218767","0.0126033","05/02/23 14:06:03 +266648000 ns","51.26665","01 06","ACK <=","","","","","","","","","","","",""
"86","51.4002","0.0106247","0.131345","05/02/23 14:06:03 +400181000 ns","51.40018","01 15 05 03 08 31 0C 03 E2","<= Static status reply","","","","15","","","","","","","",""
"87","51.4223","0.00218767","0.0114583","05/02/23 14:06:03 +422264000 ns","51.42226","01 06","ACK <=","","","","","","","","","","","",""
"88","51.5604","0.00677067","0.135922","05/02/23 14:06:03 +560374000 ns","51.56038","01 26 03 18 00 C2","<= Event 1 Status reply","18 00","","","26","","","","","","","",""
