"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Data Block","Event","SOM","Type/SEQ","length","data","LRC","NL","STX","Address","ETX","PAD"
"1","0.00805","0.00562467","0.00805","05/02/23 14:05:12 +8050000 ns","0.00805","01 18 02 00 E5","=> Static status query","","","","18","","","","","","","",""
"2","0.216067","0.00218767","0.202392","05/02/23 14:05:12 +216067000 ns","0.216067","01 06","ACK =>","","","","","","","","","","","",""
"3","0.23065","0.00218767","0.0123953","05/02/23 14:05:12 +230650000 ns","0.23065","01 06","ACK =>","","","","","","","","","","","",""
"4","0.332003","0.00562467","0.0991653","05/02/23 14:05:12 +332003000 ns","0.332003","01 29 02 00 D4","=> Event 1 Status query","","","","29","","","","","","","",""
"5","0.460021","0.00218767","0.122393","05/02/23 14:05:12 +460021000 ns","0.460021","01 06","ACK =>","","","","","","","","","","","",""
"6","0.485542","0.00218767","0.0233333","05/02/23 14:05:12 +485542000 ns","0.485542","01 06","ACK =>","","","","","","","","","","","",""
"7","0.511166","0.00562567","0.0234363","05/02/23 14:05:12 +511166000 ns","0.511166","01 1A 02 00 E7","=> Static status query","","","","1A","","","","","","","",""
"8","0.56918","0.00218667","0.0523883","05/02/23 14:05:12 +569180000 ns","0.56918","01 06","ACK =>","","","","","","","","","","","",""
"9","0.696365","0.00562467","0.124998","05/02/23 14:05:12 +696365000 ns","0.696365","01 1B 02 00 E6","=> Static status query","","","","1B","","","","","","","",""
"10","0.757302","0.00218667","0.0553123","05/02/23 14:05:12 +757302000 ns","0.757302","01 06","ACK =>","","","","","","","","","","","",""
"11","0.782926","0.00562467","0.0234373","05/02/23 14:05:12 +782926000 ns","0.782926","01 2C 02 32 E3","=> Event 1 Status query","","","","2C","","","","","","","",""
"12","0.908028","0.00562467","0.119477","05/02/23 14:05:12 +908028000 ns","0.908028","01 1D 02 00 E0","=> Static status query","","","","1D","","","","","","","",""
"13","1.11605","0.00218767","0.202392","05/02/23 14:05:13 +116045000 ns","1.116045","01 06","ACK =>","","","","","","","","","","","",""
